ticket_number,ticket_subject,sent_by,ticket_created_on,message_created_on,message,tags
21,"",Customer,2022-01-24 14:19:01.51779,2022-01-24 14:19:01.51779,Hi! What is your pricing? Can I talk with someone?,Sales
21,"",Agent,2022-01-24 14:19:01.51779,2022-01-24 14:19:27.936193,"Hi! Yes, we'd love to hop on a phone call! When are you free to chat?",Sales
22,"",Customer,2022-01-24 17:52:10.798997,2022-01-24 17:52:10.798997,"Hi, how much is Atlas?",Sales
22,"",Agent,2022-01-24 17:52:10.798997,2022-01-24 17:53:03.397358,"Looks like it, yeah.",Sales
23,"",Customer,2022-01-24 17:52:54.112771,2022-01-24 17:52:54.112771,Did I need to do a hard refresh?,Testing
23,"",Agent,2022-01-24 17:52:54.112771,2022-01-24 17:53:13.252702,Yep.,Testing
24,"",Customer,2022-01-24 19:08:58.031158,2022-01-24 19:08:58.031158,Does this chat work?,Testing
24,"",Agent,2022-01-24 19:08:58.031158,2022-01-24 19:29:14.98457,Repsonding to Old,Testing
24,"",Customer,2022-01-24 19:08:58.031158,2022-01-24 19:29:25.265641,123123,Testing
24,"",Agent,2022-01-24 19:08:58.031158,2022-01-24 19:29:35.629526,Responding to old,Testing
25,"",Customer,2022-01-24 19:28:50.912395,2022-01-24 19:28:50.912395,What about this?,Testing
25,"",Agent,2022-01-24 19:28:50.912395,2022-01-24 19:29:02.021994,responding to A,Testing
25,"",Agent,2022-01-24 19:28:50.912395,2022-01-24 19:29:48.269287,Responding to new,Testing
26,"",Customer,2022-01-25 02:48:47.439369,2022-01-25 02:48:47.439369,"hey guys, what's your pricing?",Testing
26,"",Agent,2022-01-25 02:48:47.439369,2022-01-25 03:43:02.568386,Hey Rahul!,Testing
27,"",Customer,2022-01-25 03:49:19.837701,2022-01-25 03:49:19.837701,"Hey, here's another test ticket.",Testing
27,"",Customer,2022-01-25 03:49:19.837701,2022-01-25 03:49:26.47713,Is enter working?,Testing
28,"",Customer,2022-01-25 03:56:49.620184,2022-01-25 03:56:49.620184,hey,Testing
28,"",Agent,2022-01-25 03:56:49.620184,2022-01-25 03:57:51.06612,Are you having a whale of a time?,Testing
28,"",Agent,2022-01-25 03:56:49.620184,2022-01-25 03:58:10.256275,Does enter work?,Testing
28,"",Customer,2022-01-25 03:56:49.620184,2022-01-25 03:58:15.85827,kjdslkasdlkajdlkajsd,Testing
29,"",Customer,2022-01-26 06:21:04.15744,2022-01-26 06:21:04.15744,"hey, everything fine?",Testing
29,"",Agent,2022-01-26 06:21:04.15744,2022-02-11 04:28:12.137065,We are using rrweb but still need to do a lot of heaving lifting implementing it. ,Testing
29,"",Agent,2022-01-26 06:21:04.15744,2022-02-11 04:28:22.176265,https://github.com/rrweb-io/rrweb,Testing
30,"",Customer,2022-01-28 14:53:47.113617,2022-01-28 14:53:47.113617,hey not super urgent but fyi in ramp bank you show up as merriam webster,"Feature Request,Billing"
30,"",Customer,2022-01-28 14:53:47.113617,2022-01-28 14:54:23.994008,heres a screenshot,"Billing,Feature Request"
30,"",Customer,2022-01-28 14:53:47.113617,2022-01-28 14:54:52.622681,(also note that it wouldn't let me send a screenshot without a message),"Billing,Feature Request"
30,"",Agent,2022-01-28 14:53:47.113617,2022-01-29 03:46:42.448936,"Thanks for the heads up, Adam! In theory, it's supposed to show up like this 👇🏻, but I've seen CC/bank statements get this wrong from time to time at my last startup (and now here). Checking with Stripe support now.Also, re: sending message w/ just screenshots: getting that updated now, will circle back when updated!","Feature Request,Billing"
30,"",Agent,2022-01-28 14:53:47.113617,2022-01-29 04:03:37.631771,"Okay, confirmed: looks like this is a bank issue (whatever banks use to grab this info I think takes some time to ""warm up""; I believe I was still seeing these up to 6 months after our first billing was happening previously). From Stripe on this in case you see the same thing: ","Billing,Feature Request"
30,"",Customer,2022-01-28 14:53:47.113617,2022-01-29 04:04:45.093978,"i expect my money's worth in word definitionsOn Fri, Jan 28, 2022 at 11:03 PM Jon from Atlas Support <support@getatlas.io> wrote: Okay, confirmed: looks like this is a bank issue (whatever banks use to grab this info I think takes some time to ""warm up""; I believe I was still seeing these up to 6 months after our first billing was happening previously). From Stripe on this in case you see the same thing:  Screen Shot 2022-01-28 at 10.02.18 PM.png  - Jon O'Bryan @ Atlas Support ","Billing,Feature Request"
31,"",Customer,2022-01-31 15:52:37.698712,2022-01-31 15:52:37.698712,test,Testing
31,"",Customer,2022-01-31 15:52:37.698712,2022-01-31 15:52:44.684069,test,Testing
31,"",Agent,2022-01-31 15:52:37.698712,2022-01-31 15:52:49.446204,fd,Testing
31,"",Agent,2022-01-31 15:52:37.698712,2022-01-31 15:52:49.573758,df,Testing
31,"",Agent,2022-01-31 15:52:37.698712,2022-01-31 15:52:49.70954,d,Testing
31,"",Agent,2022-01-31 15:52:37.698712,2022-01-31 15:52:49.840824,f,Testing
31,"",Agent,2022-01-31 15:52:37.698712,2022-01-31 15:52:49.970621,df,Testing
31,"",Agent,2022-01-31 15:52:37.698712,2022-01-31 15:52:50.106778,df,Testing
31,"",Agent,2022-01-31 15:52:37.698712,2022-01-31 15:52:50.242362,sd,Testing
31,"",Agent,2022-01-31 15:52:37.698712,2022-01-31 15:52:50.646771,saa,Testing
31,"",Agent,2022-01-31 15:52:37.698712,2022-01-31 15:52:50.834503,sdf,Testing
31,"",Agent,2022-01-31 15:52:37.698712,2022-01-31 15:52:50.943731,as,Testing
31,"",Agent,2022-01-31 15:52:37.698712,2022-01-31 15:52:51.080545,df,Testing
31,"",Customer,2022-01-31 15:52:37.698712,2022-01-31 15:52:53.08065,asd,Testing
31,"",Customer,2022-01-31 15:52:37.698712,2022-01-31 15:52:53.236093,f,Testing
31,"",Customer,2022-01-31 15:52:37.698712,2022-01-31 15:52:53.376098,sdf,Testing
31,"",Customer,2022-01-31 15:52:37.698712,2022-01-31 15:52:53.52258,ds,Testing
31,"",Customer,2022-01-31 15:52:37.698712,2022-01-31 15:52:53.64162,fsd,Testing
31,"",Customer,2022-01-31 15:52:37.698712,2022-01-31 15:52:53.786129,fds,Testing
31,"",Customer,2022-01-31 15:52:37.698712,2022-01-31 15:52:53.937268,fsd,Testing
31,"",Customer,2022-01-31 15:52:37.698712,2022-01-31 15:52:54.072472,f,Testing
31,"",Customer,2022-01-31 15:52:37.698712,2022-01-31 15:52:54.28386,sf,Testing
31,"",Customer,2022-01-31 15:52:37.698712,2022-01-31 15:52:54.472369,asd,Testing
31,"",Customer,2022-01-31 15:52:37.698712,2022-01-31 15:52:54.61039,f,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:52:58.600329,asdf,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:53:01.1914,d,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:53:01.351078,fd,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:53:01.496463,fd,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:53:01.61533,f,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:53:01.73384,df,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:53:01.867848,df,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:53:02.037236,d,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:53:04.849271,fsd,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:53:04.974924,f,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:53:05.121843,sdf,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:53:05.251859,ds,Testing
32,"",Agent,2022-01-31 15:52:58.600329,2022-01-31 15:53:06.662894,asdfsadf,Testing
32,"",Agent,2022-01-31 15:52:58.600329,2022-01-31 15:53:06.901974,sdf,Testing
32,"",Agent,2022-01-31 15:52:58.600329,2022-01-31 15:53:07.060035,dsf,Testing
32,"",Agent,2022-01-31 15:52:58.600329,2022-01-31 15:53:07.197956,dsf,Testing
32,"",Agent,2022-01-31 15:52:58.600329,2022-01-31 15:53:07.322841,sd,Testing
32,"",Agent,2022-01-31 15:52:58.600329,2022-01-31 15:53:07.454246,fds,Testing
32,"",Agent,2022-01-31 15:52:58.600329,2022-01-31 15:53:07.60658,fsd,Testing
32,"",Agent,2022-01-31 15:52:58.600329,2022-01-31 15:53:07.744783,fds,Testing
32,"",Agent,2022-01-31 15:52:58.600329,2022-01-31 15:53:07.848159,f,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:16.493187,fdf,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:16.619542,d,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:16.729763,fd,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:16.902419,f,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:16.996539,df,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:17.14276,df,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:17.267923,dsf,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:17.403167,d,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:17.525554,fds,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:17.647454,fs,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:18.938117,sdfd,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:19.064257,f,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:19.211044,df,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:19.361457,df,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:19.482028,d,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:19.607455,fd,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:19.766915,fd,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:20.007713,fdfd,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:20.148172,d,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:20.314304,fd,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:20.408457,f,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:20.585826,d,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:20.826281,fdfd,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:21.11111,fd,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:21.167688,fd,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:21.264904,fd,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:21.485356,fd,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:21.581736,fd,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:21.740278,f,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:21.871062,d,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:22.005449,f,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:22.177225,df,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:22.477322,df,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:22.605934,d,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:22.751567,fd,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:22.917457,fd,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:23.063566,f,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:23.228569,d,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:23.377367,f,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:23.541544,df,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:23.685088,dsf,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:23.865882,d,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:24.032091,fd,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:24.136205,f,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:24.36142,df,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:24.459764,df,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:24.678629,df,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:24.736879,d,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:24.871117,fd,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:25.138108,f,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:26.333226,ddf,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:26.482532,d,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:26.654064,f,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:26.780579,df,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:26.996239,d,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:27.169872,fd,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:27.329076,f,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:27.507421,df,Testing
32,"",Customer,2022-01-31 15:52:58.600329,2022-01-31 15:59:27.695658,df,Testing
33,"",Customer,2022-02-02 10:09:33.585518,2022-02-02 10:09:33.585518,test,Testing
33,"",Agent,2022-02-02 10:09:33.585518,2022-02-02 10:09:45.113226,df,Testing
34,"",Customer,2022-02-03 02:27:26.373563,2022-02-03 02:27:26.373563,this is pretty great!,Testing
34,"",Customer,2022-02-03 02:27:26.373563,2022-02-03 02:27:35.837375,thanks!,Testing
34,"",Agent,2022-02-03 02:27:26.373563,2022-02-03 03:19:17.166299,Glad you like it! Let us know if you have any questions!,Testing
35,"",Customer,2022-02-03 02:57:35.501902,2022-02-03 02:57:35.501902,is this the atlas with the kick ass team?,Testing
35,"",Agent,2022-02-03 02:57:35.501902,2022-02-03 02:57:52.406623,"yay, it is ",Testing
35,"",Agent,2022-02-03 02:57:35.501902,2022-02-03 02:58:25.105571,this is great man! ,Testing
36,"",Customer,2022-02-03 03:41:58.012024,2022-02-03 03:41:58.012024,Why hello there.,Testing
36,"",Agent,2022-02-03 03:41:58.012024,2022-02-03 03:42:14.127619,Oh hi,Testing
36,"",Agent,2022-02-03 03:41:58.012024,2022-02-03 03:42:21.910496,Another,Testing
36,"",Agent,2022-02-03 03:41:58.012024,2022-02-03 03:42:38.632372,How loud is this?,Testing
36,"",Agent,2022-02-03 03:41:58.012024,2022-02-03 03:43:14.121795,Water drop,Testing
36,"",Customer,2022-02-03 03:41:58.012024,2022-02-03 03:44:06.89806,Another message,Testing
36,"",BOT,2022-02-03 03:41:58.012024,2022-02-03 03:44:10.082754,"We are away at the moment, but let us know how we can help and we’ll be in touch with a support agent.We will be back at Feb 03, 06:00 AM PST.",Testing
37,"",Customer,2022-02-03 03:48:47.462529,2022-02-03 03:48:47.462529,Another test,Testing
37,"",Agent,2022-02-03 03:48:47.462529,2022-02-03 04:16:54.488828,asdasd,Testing
37,"",Agent,2022-02-03 03:48:47.462529,2022-02-03 04:17:11.549268,It's working!,Testing
37,"",Agent,2022-02-03 03:48:47.462529,2022-02-03 04:17:26.504322,123123,Testing
38,"",Customer,2022-02-04 04:47:49.091842,2022-02-04 04:47:49.091842,"Hey guys, what's your pricing?",Testing
38,"",Customer,2022-02-04 04:47:49.091842,2022-02-04 04:48:04.467092,This is a test,Testing
38,"",Agent,2022-02-04 04:47:49.091842,2022-02-04 04:48:18.052678,What can I help you with ,Testing
38,"",Agent,2022-02-04 04:47:49.091842,2022-02-04 04:48:35.140078,Thanks!,Testing
39,"",Customer,2022-02-05 17:00:58.289275,2022-02-05 17:00:58.289275,"some minor feedback - i seem to need to sign in ""more often"" than with other services. cant really quantify it but it feels slightly annoying",Feature Request
39,"",Agent,2022-02-05 17:00:58.289275,2022-02-05 17:07:16.430065,"Thanks for the feedback Adam, we will increase the session timeout to a bigger time period. Will update you when the change is live. ",Feature Request
40,"",Customer,2022-02-05 20:08:08.082816,2022-02-05 20:08:08.082816,"Hey Rahul, does Atlas get blocked by ad blockers? Datadog does and I think some of the other session recording tools are as well. Not sure how we escaped the wrath, but a fortuitous selling point...",Testing
41,"",Customer,2022-02-08 00:05:44.50158,2022-02-08 00:05:44.50158,Is this running on Atlas,Testing
41,"",Agent,2022-02-08 00:05:44.50158,2022-02-08 00:25:33.220112,It is!,Testing
42,"",Customer,2022-02-08 13:17:02.214116,2022-02-08 13:17:02.214116,Hello! Just came across your site: do you offer remote control as well?,"Session recording - Copilot,Feature Request"
42,"",BOT,2022-02-08 13:17:02.214116,2022-02-08 13:17:05.626574,"We are away at the moment, but let us know how we can help and we’ll be in touch with a support agent. We will be back at Feb 08, 06:00 AM PST.","Feature Request,Session recording - Copilot"
42,"",Agent,2022-02-08 13:17:02.214116,2022-02-08 16:30:54.095613,"Hi, apologies for the delay! We don't currently offer remote control but it's on the roadmap. Currently, we offer cobrowsing along with historical session recordings as well as chat and email ticketing.","Feature Request,Session recording - Copilot"
42,"",Agent,2022-02-08 13:17:02.214116,2022-02-08 16:31:18.596031,Happy to chat if you have any other questions! You can also reach me at jon@getatlas.io.,"Feature Request,Session recording - Copilot"
43,"",Customer,2022-02-11 04:02:04.382878,2022-02-11 04:02:04.382878,"little feedback here - as i was testing the identification set up, I thought it was only picking up the id because I didnt see the name or email in this box",Bug
43,"",Customer,2022-02-11 04:02:04.382878,2022-02-11 04:02:14.997868,"",Bug
43,"",Customer,2022-02-11 04:02:04.382878,2022-02-11 04:02:24.241781,I now see the email at the top of the whole section,Bug
43,"",Customer,2022-02-11 04:02:04.382878,2022-02-11 04:02:29.090717,no name anywhere though,Bug
43,"",Agent,2022-02-11 04:02:04.382878,2022-02-11 04:05:05.451356,"Adam, we are not displaying name, email in that section. but it should be there in the top the side pane. Something like this. ",Bug
43,"",Customer,2022-02-11 04:02:04.382878,2022-02-11 04:08:43.709183,"yah i see the email, not seeing name though",Bug
43,"",Agent,2022-02-11 04:02:04.382878,2022-02-11 04:09:44.966741,ya just noticed that in data. Can you send me how you are making the identify call? the attribute is called name ,Bug
43,"",Customer,2022-02-11 04:02:04.382878,2022-02-11 04:10:01.779698,here is the payload,Bug
43,"",Customer,2022-02-11 04:02:04.382878,2022-02-11 04:10:18.27212,"",Bug
43,"",Customer,2022-02-11 04:02:04.382878,2022-02-11 04:10:37.188651,calling window.Atlas.identify(payload),Bug
43,"",Customer,2022-02-11 04:02:04.382878,2022-02-11 04:13:33.584691,"its possible the first time I called it, I passed undefined for the name, but I have called it with the name ""Adam Dev"" reliably now :-)",Bug
43,"",Agent,2022-02-11 04:02:04.382878,2022-02-11 04:13:57.56909,"found the issue -- only fields are getting updated once user is already created in Atlas (email/name are not). let me fix that tonight. I think if you try for a new user, it should work.",Bug
43,"",Customer,2022-02-11 04:02:04.382878,2022-02-11 04:14:08.835816,ok let me see,Bug
43,"",Customer,2022-02-11 04:02:04.382878,2022-02-11 04:16:31.230782,yah can confirm its working on a new user,Bug
43,"",Agent,2022-02-11 04:02:04.382878,2022-02-11 04:18:54.523172,Thanks for checking and reporting the issue 🙏 Please keep them coming. This one will be fixed with next deploy.,Bug
44,"",Customer,2022-02-11 04:23:17.141716,2022-02-11 04:23:17.141716,"oh man, i was typing a reply and you cut me off by closing the ticket :-) LOL","Feature Request,Composer"
44,"",Customer,2022-02-11 04:23:17.141716,2022-02-11 04:24:28.352029,"anyway, i was going to say, maybe i raised this already, but having some protection against impersonation (other than the obscure customer id) would be great","Composer,Feature Request"
44,"",Agent,2022-02-11 04:23:17.141716,2022-02-11 04:24:44.714563,"Apologies -- we have ""Adam is typing..."" feature coming soon, which should fix that. ","Feature Request,Composer"
44,"",Customer,2022-02-11 04:23:17.141716,2022-02-11 04:24:52.94479,haha,"Composer,Feature Request"
44,"",Agent,2022-02-11 04:23:17.141716,2022-02-11 04:25:20.936727,"ya, have support for that planned in this sprint as well. ","Composer,Feature Request"
44,"",Customer,2022-02-11 04:23:17.141716,2022-02-11 04:25:37.82932,cool :-),"Feature Request,Composer"
44,"",Customer,2022-02-11 04:23:17.141716,2022-02-11 04:25:41.621516,looking great,"Composer,Feature Request"
44,"",Customer,2022-02-11 04:23:17.141716,2022-02-11 04:26:08.353821,did you guys build the whole session recording stuff yourselves or was it an available open source thing,"Composer,Feature Request"
44,"",Agent,2022-02-11 04:23:17.141716,2022-02-11 04:30:14.008099,We are using https://github.com/rrweb-io/rrweb but still request surprising amount of work to get all features we want. But still saved months of work with it. ,"Composer,Feature Request"
