ticket_number,message,tags
95,it's pretty unexpected that when I reopen the atlas bubble that my previous messages aren't here and it looks like I'm starting from scratch,Bug
96,hi,Spam
97,"Can you please cancel my account billing Hi John! Yes, of course! Just canceled your subscription and refunded your card.I'd love to chat and see if we'd be a good fit for Hopin. Do you have any availability next week?",Sales
98,"Hi Michael, thanks for reaching out! We'd love to help you improve the quality of your customer support. We have a few different packages available, but the most popular is our startup package for $200/mo. This gets you 5x seats and 10,000 session recordings/mo.I'd love to hop on a call with you to discuss how you're doing support and see if we could help you improve. Do you have any availability next week to chat? You can also contact me at jon@getatlas.io",Sales
100,"Hi there! How much is it? Hi! Our pricing starts at $200/mo for 5 seats and 10,000 sessions. What tools are you using today for your customer support?",Sales
111,"pricing Hi! Our pricing starts at $200/mo for 5 seats and 10,000 sessions. What tools are you using today for your customer support?",Sales
112,"Hi, do you have a twitter account? Hi, Yes we do have a twitter account. Let us know how we can help? ",Sales
113,"what do you do Hi! Atlas is an all-in-one customer support tool that helps companies improve the quality of their support. We do this by bringing sessions recordings, bugs, and outbound emails together in a simple customer dashboard. Do you know what you're using for your customer support today/",Sales
114,"Hello, do you have any documentation for developers?",Product Question
115,"Hello, do you have any documentation for developers? Hi Luis! We have installation documentation in the App Configuration tab (https://app.getatlas.io/configuration/installation), but don't have API documentation yet (working on it now). Is there a particular use case you're considering that we can help with? We would like to know if we can limit the screen recordings.Hide password fields and sensitive data. Apologies for the delayed response -- absolutely! One sec and I'll pull together instructions. Perfect, thanks! Hi Luis, apologies for the delayed response! You can add these classes to add to element to hiding fields and masking fields:atlas-hide -- to hide a element or group of thematlas-mask -- mask input",Product Question
118,"Is there a way to reach out to a user who hasn't send a message inbound? I want to reach out to a currently active user and can't figure out how. Hey Scott! We don't currently have a way to do that, but can add that functionality today. I'll send you a message whenever we roll this out with instructions on how to do it. Thanks! Done! Here's how you send a message to a customer proactively:search for customerclick on customer name and come to customer profilesend the message",Product Question
119,"HI Is anyone for chat Hey, how can we help you! ",Sales
121,"Hi Raphael, Hi Raphael,Of course -- always welcome feedback! We're a fully remote team; I'm based in Houston, TX and the rest of the team is in California, Georgia, and Ukraine. Do you have any availability later this week? (Here's my calendly if that's easier: https://calendly.com/jon-obryan/30min) Looking forward to chatting!Jon",Feature Request
129,"Does Atlas also do helpdocs/knowledge centers or is it strictly customer communication + help tickets? Hey, we are building helpdocs/knowledge base right now and should have it ready by end of this month.  Awesome! Would love to show you what we are building? do you have sometime this week to talk about this.  For sure. Do you have a calendly link? My friend, Chris with Loops recommends you guys Here is it: https://calendly.com/jon-obryan/30min?month=2022-04 Done! Looking forward to it great! looking forward to talking with you. ",Sales
141,Note to self: don't write emails like this,Spam
156,Hey Hi! How can we help?,Sales
159,"hey - loving the reply feature in slack one bug - it seems to be stripping links so if i send an email address (that slack auto changes to a mailto link) or google.com, it gets stripped from the message that appears in atlas thanks adam! good catch — will fix asap!",Bug
161,Is Atlas SOC 2 compliant? we’re in the process of getting SOC2 compliance and hope to be so in the next few months! thanks! of course! Happy to answer any other questions if you have them. We're just in the process of evaluating tools for support. One of our requirements for including 3rd party libraries on our website is SOC2 compliance,Sales
168,"hey team can I trigger the chat box without the chat bubble but through Javascript code? Basically I'd like to open the chat when someone clicks on something in my app, not through your beacon hey! yes you can — one moment and i’l get you the exact command. Hey, you can use the following command to start the Atlas Chat window.Atlas.chat.start()Let me know if you have any other questions!  ok thanks. I know you guys are super early stage but I have some feedback if you'd like to hear it. I think the main problem right now revolves around email.Basically, when a reply goes into an email ticket, the reply goes from support@getatlas.io which is not good at all. Furthermore, Gmail thinks the email is a promotional one and therefore puts it in the promotional tab. I am happy to jump on a quick call to discuss solutions for these issues. I am pretty sure that every company will have the same issues as us. Would love to hear your feedback! re: outbound emails: completely understand. We're actually building out a custom domains feature right now to allow you to send emails from your own domain.Do you have any availability later this week? (Here's my calendly if that's easier as well: https://calendly.com/jon-obryan/30min) thank you. will do.",Bug
177,Pricing we charge $200 per month for 5 seats and 10k sessions.,Sales
178,Pricing we charge $200 per month for 5 seats and 10k sessions.,Sales
180,"its not letting me copy links into atlas Hi Lara, sorry for the delayed response here! This is how you add a link: There are also two other ways you can hyperlink text:copy a link → paste it over the text you'd like to linkhighlight text and press Cmd+K (if you're on a Mac, Windows+K if you're on a PC) to bring up the link menuLet me know if you have any problems with it!Also, something I noticed might be helpful for you are the canned responses (you can get to them here). To add them in the composer, just type ""#"" and then you can search through your saved canned responses really quickly. Hi i meant i can not paste a link into the cht bubble unless it is wrapped in other text for example: if i try to just paste ""www.Avocademy.com"" it wouldnt let me but if i try to paste "" this is the link to our website www.avocademy.com "" it does ahh got it — will look into this now, thanks Lara! Hi Lara, Sorry for the late reply, we fixed this issue last week. Please let me know if you face any other issue. Thanks, thank you!",Bug
190,"Hey team -- I cannot see any option to cancel the subscription from the settings menu. Can you please cancel our subscription and confirm? Thank you. Of course, can do. Any chance we could hop on a call in the next day or two to learn about your experience so we can improve it for folks moving forward?",Sales
192,how to make an account Hi! You can go to “Signup” in the top right corner of the page to create an account. Would love to hop on a call and learn more about your use case as well.Do you have availability this week? Here’s my calendar if that’s easier: https://calendly.com/jon-obryan/30min,Product Question
200,"Hello! How can I change our credit card? Hi Hayden! We can hop on a call and add a new card to file (currently, that’s the only option in Stripe unless we switch to email invoicing rather than autopay). Do you have some time later today or tomorrow? (Here’s my calendly if that’s easier: https://calendly.com/jon-obryan/15-min-meeting)",Sales
208,"Our startup package is $200/mo for up to 5 seats and 10,000 session recordings/mo. Please let me know if you are interested in getting seeing a demo? ",Sales
214,"Hi there! What's the best way to reference FAQs or any external documentation to folks who are clicking on my chat bot? Is it in the response from the agent or are there other ways to serve that information prior to chat engagement Hey Michael! Currently, the best way is to send a link in your response. Our chatbots will support sharing help center articles in a workflow so you could route users to certain articles based off of the questions they have. Do you have any way to offer a schedule to a customer? I can save a calendly link as a saved response but wasn't sure if there was another way that I am not seeing right now. Not at the moment, but we're considering a calendly integration (similar to Intercom's: send a calendly link to a customer via chat and then they can book in chat widget via iframe into calendly). How often do you use this? Would this cover your use case? What's the best way to set-up our email support so that when we receive an email, it gets forwarded from the chat, and so when we send an email- it shows up from our support email? Michael, We are working on this right now, where you will be able to setup your domain and we will use that to send the email from that — it should land toward the end of next week Haha busy week for ya'll coming up! Please let me know when this is completed. What's the email functionality that exists today? Here is what we support right now you could receive any ticket (email) sent to your support address when you reply, it would be sent to user via email. User the user  And how do I set that up? Sorry sent my response eariler than I meant to, here is what you could with email today: You could you could receive any ticket (email) sent to your support address and it will create a ticketWhen you reply to this in Atlas (via UI or slack), it will got to customer via email When the customer responds to email it will come as thread to same ticket. What's missing right now is that when email is sent to customer, it comes from support@getatlas.io (instead your mail.patterns.app or something similar) -- User still see the your name as person who replied (but not the email adderss). We are going to add the feature for you to configure your email (basically set mx record that will allow Atlas to send email on your behalf)  To setup the above you can got to https://app.getatlas.io/configuration/email and forward address from your support email to the email mention in that section Thank you! Gonna test this afternoon 👍",Product Question
241,Hi Yosuke! What are your prices for engs? And where are they located?,Sales
243,"Do you only do chat? Or can I integrate SMS and emails and calls to Atlas as well? Hello Hi Casey! Apologies for the delayed response. We do do chat, email, and SMS. To setup email, you can go here. For SMS, we have to set this up manually with you, but can do that later today on our setup call. Thank you!",Sales
249,"How do i add contact info to a contact? i would like to add a name here Hey Kevin, you can call Atlas.identify (the snippet is in App Config > Install) to set the user name, id, etc. there should be a way to do this right in the dashboard because most of our users are coming in through sms so there is no way to call Atlas.identify yeah agreed, this will be editable next week (we rolled out SMS recently and didn't need until then but have it rolling in with another PR that's currently in review) 👍 we can also pipe in users from your DB via API or Segment when that's hooked up oh fantastic. we definitely need that. is there a CSV upload? or is API call or segment the best way most immediate would be a CSV upload (eg, can share tonight and we'll have it up tomorrow). API call short-term (over next month), then Segment if you're already identifying there great. csv upload works and we also do have segment but that may need some cleaning up the slack integration only loaded like 10% of our slack channels lots of public channels are missing strange... taking a look at Slack integration issue.",Bug
252,"Hey folks, Getting a ""not right"" page for seemingly just one screen recording. Of course it's *the* screen recording I need to see a user issue. Anything that can be done here? dang, apologies. Could you share the session id? I should be able to pull this as well actually, let me take a look here's the full URL - assuming something in there is the session ID? https://app.getatlas.io/customer-profile/6ab61941-bb29-4d3b-a2a8-84f62a9263c1?conversationId=5363acb0-1894-4bc4-8c3f-e22c11cea876 awesome, thanks Jeremiah. Digging into this presently. Hi Jeremiah, we pushed a fix for this — mind trying again? it's working, thank you so much!",Bug
255,"it won't let me send images Autocorrect would also be very helpful Hi Lara, sorry about that -- looking into this issue now. In the interim, you can open the filepicker and drag-and-drop onto it like this: Hi! No worries, I am dragging and dropping into the filepicker and it sends but doesn't appear like it sent. Hi Lara, we fixed the issue with send not sending attachment. &nbspCould you please refresh the page and give it a try?",Bug
261,"Hey Guys, we aren't using Atlas so unfortunately I'd like to cancel our subscription. Can you process that? No sign of billing section in the UI AFAICS. Hey Sam, just canceled your subscription. Are there any specific features that would cause you guys to reconsider in the future? (Previously, I wrote down that you were looking for a GDPR compliant permission request before transmitting session recordings and for emails to come from your email address directly — anything else?) This is super helpful, thanks Sam! Any chance you’ve got a few minutes later this week to dig in on some of these so I can understand them a little better? Thanks Sam! Cesar, if it’s any easier, here’s my calendly. Thank you! Here you go: https://calendly.com/jon-obryan/30min",Sales
263,"https://share.cleanshot.com/7R3bAS happens when I also build the chat box, so not sure if it's intended workflow Hi, you can click on “continue” and then you can use ESTIMOMUCHO for a starting a trail. Thanks! also, can you hide the chat box when implemented? we would want to just do screen recording first yes, we can set that up for you. perfect Scott and Brad Sickles sent me your way Amazing! we love nullstone (and Scott/Brad are amazing)  :-) Brian, I see chris also created another account. Let me know if you want me disable that one so you can invite him to his account. ",Bug
264,"one other favor... I used my teammate's email to try and sign up a second time and need to add him to my team -- cdeved@wick.io so he already exists Give me second! let me disable his other account Brian, I disabled Chris's other account, you can invite him to this account via going to this page https://app.getatlas.io/settings/team thanks -- what would I need to do to turn off the chat messaging bubble for now? I already disabled it for your account! you should be all set thanks! Please let us know if you face any issue or looking for specific feature.  Is ""See here for more details."" supposed to link to another page? Ohh yes, it is supposed to point to https://app.getatlas.io/kb/atlas/articles/620722-user-authentication. Will fix it  thanks again! excited to get started. I think this is really going to help us understand what is going on with our set of users does atlas figure out how to spilt activity across environments such as staging and production based on the source URL or do we need to pass that as a variable/tag? Right now we don’t have a concept of workspace/environments, so you will have to control it on you end. &nbspWe plan to add support but it is bit lower on the roadmap (Q4 2022). thanks how do most people handle not pushing it into dev or stage? ah--- nevermind have a solution Most people don’t load the script all together. you mean for dev and stage? I talked to Scott @ Nullstone and they are simply doing a check for environment = Prod yup — exactly. 👍",Product Question
271,"Hi Max, yes we do support SMS! Do you have a Twilio number you’d like to migrate over or would you like to get a new one? I spent some time digging around to see if Klaviyo allows you to use an existing Twilio number but couldn’t find anything published online (including in their help center). My guess is that the answer will probably be “no”, unfortunately. They don’t have publicly available support, but you should be able to get in touch here. The question for them is whether or not they’ll let you keep ownership of your Twilio number or get access to an API key for the underlying Twilio number so you can use it with another service (Atlas). Dang, sorry about that. There could be a few motivations for this, but I suppose it’s a moot point at the moment. With Atlas, you can either connect an existing Twilio number that you have access to or you can create a number through Atlas (we automatically provision it under the hood).",Feature Request
279,Hi! Our pricing starts at $200/mo for 5 seats and 10k sessions recorded/mo.,Sales
282,"Hi Hi! For our core product, it’s $200/mo for 5 seats and 10k sessions/mo. Additional seats are $40/seat/mo and additional sessions are $5/1k sessions.",Sales
286,"payment method? Hi Yesi! Would you like to change your payment method? yes! but I cant find it in Settings can you please tell me where is it? we don’t currently have it in settings, but I can hop on a phone call with you to change it (it will be added to settings within the next couple of weeks). Free to hop on a call a little later to change it out? sure 913 380 2376 Great! Calling now from a 270 number. couldnt hear you Hi Yesi! Realizing I lost track of this thread. Are you free any time today for a quick call to update the payment method?",Feature Request
289,"Hey team! I was reviewing a recording and capturing console logs with a customer doing a live test of our new platform and while looking at the video I noticed it is very jumbled- like the CSS has been removed https://app.getatlas.io/sessions/436a6fe8-67bf-48ba-83eb-0bc99802c06a?time=2499 Hey Travis! Digging into this now, apologies! Thanks!",Bug
290,Hi hi! hey Michael how can we help?,Spam
294,"hi all - is there a way to enable notifications when a new text/LC/email is received Hi Jocelyn! We’re adding the ability to enable browser notifications and sounds shortly (it’s in staging right now). In the interim, the Slack integration is the best option (looks like you’ve got it setup going to your #cx-atlas channel — is this working okay?)Are there any other notification types you’re interested in?",Feature Request
307,Hi Michael! Our pricing starts at $200/mo for our startup package which includes 5 seats and 10k sessions/mo. Does that align with what you’re looking for?,Sales
313,"Hi, we're just setting atlas up and ran into a problem: our business name contains the letter Ö, which isn't supported in eMail-Adresses. Could you change our eMail-Adress from dönerme to doenerme in the beginning? Would love trying atlas :) Hi Jannis! Nice to meet you! Looks like it’s updated, let me know if you have any issues with it going forward.Also, would love to meet you and get your first impressions. Have any time to chat next week? (Here’s my calendar if that’s easier.) Yeah apologies for the delayed response -- we're a fully remote team, but I'm based in Houston, TX. I'm happy to do later or earlier hours if there are some good times for you.",Bug
316,"Hello, I have a question regarding the session recordings. Do you record the last 45 sec before the user contacted us via chat? Or do you record all the session and it's not necessary that the user contact us? Hi Samuel, thanks for reaching out! We record the entire session, regardless of whether or not a customer has reached out. Oh perfect, thanks! Tomorrow we I'll ask to add Atlas to a developer :) Great! Let me know if I can be helpful in the process (happy to hop on and answer any developer questions or your questions). Hey Samuel, Just wanted to reach out and see if you were able to add Atlas, if not happy to jump on a call with you or your team and set it up. Also, can show you different features we have. Let me know if you any availability this week. ",Product Question
318,Hi Uday! We’re in the process of certifying for SOC2 with Vanta. Vanta can provide us a letter since we are in the process and that generally covers folks SOC2 requirements.,Product Question
320,"How to change the button label ""Chat with us"" and textarea placeholder ""Start a new message..."" Hi! We don't currently have that option, but could add it pretty easily. Also, I'd love to hop on a quick call and help you get setup and oriented with Atlas. Have any availability later this week? (Or, here's my calendly if that's easier.)",Feature Request
327,"asdasdas What is your guys pricing? Hi Ben, Our startup package is $200/mo for up to 5 seats and 10,000 session recordings/mo. Let me know if you need any help getting setup, happy to jump on a call based on your availability.  Cool, am I in a trail period rn? Yes, we have 15 day free trail. Ben, Just wanted to reach back out and see if you need any help with setting up Atlas. Would love to show you the tool if you have 15-30 mins of time. ",Sales
328,"Hi Kishan, are you there?",Spam
329,"Hi Vlad! We don’t currently integrate with LINE, but it’s on the roadmap (when we do integrate it, it will be native in our app). And we currently only offer chat on mobile (session recordings are currently web-only — should have session recording for mobile in Q1).Would love to learn more about what you’re building and your use case!",Product Question
330,"Can you please close the account so that we don't get charged again? Also- can you let me know the last date of billing on our account please? Michael, I have cancelled your subscription and issued a credit for the charge that was made yesterday. &nbspYou effective last day of billing Sep 27th. &nbsp &nbspPlease let me know if you need anything else from us. Ah- great! Thanks so much- really appreciate it Liked the product- just wrong timing for us Let us know whenever you are looking for a support tool again — we have lot of new, exciting features lined up.",Sales
344,"I can't write at box of ""Send Message"" in the Chatbot. Hi Yosafat, yikes sorry -- taking a look now! not yet, I can't add a message in the box :( Yosafat, could you please try now again -- we have fixed the issue you faced. Please let me know how it goes. ",Bug
347,"qwe hi there, i could see a pricing page do you have one? couldn't* Hi! We're adding one, but our pricing is $200/mo for 5 seats and 10k session recordings/mo. Would you like to schedule a time to chat about what you're looking for and how we can help?",Sales
348,Hi Moz. Send me Todd’s email and I’ll handle it.,Spam
356,hello there hello could you tell me about your pricing? of course! where are you based?,Sales
359,"Hi Majida, I think we’re good to go here for now. Thanks for reaching out, though!",Spam
365,"Hey Pedro, Great timing! we are adding Whatsapp as a channel right now and should have it in next couple of days. Do you have sometime this week, would love to show you different features of Atlas. ",Product Question
369,"this looks really cool. No pricing info...hows that work?Also see the code to implement. Indetify call looks similar to what we send to segment. is there an intergration? Hi Tim, thanks for reaching out! Apologies on the pricing side -- launching a revamped marketing page in a couple weeks with pricing, features, etc. (we've been really focused on building things after login 😊).Pricing: our startup package is $200/mo for 5 seats and 10k sessions/mo. If you're an early stage startup (eg, don't have any dedicated support person yet), let me know and happy to trade $$$ for feedback.Segment: yep! We haven't officially launched it, but we do have users that have been connected via Segment in beta for a while quite successfully. Here are the docs to get it setup: Segment IntegrationOn another note, would love to do a quick intro call. Have 15 mins later this week or next? (Here's my calendly if that's easier.) Yeah we're very early stage generating limited early revenue with about 100 user. It's just us founders right now.Ill be honest 200/mo is not feasible for us yet. was looking for something that could scale with us (free for first X users or w/e, we're on linear.apps free plan right now which is like this). Happy to share as much feedback as you can handle if thats useful to you. Totally understand. Happy to do 3 free support seats (people who are writing back to customers), 10k free sessions/mo (every time a user visits your app = 1 session until they leave), and unlimited viewer seats (anyone on your team who wants to look at sessions or anything in Atlas but isn’t writing back to customers). Can discuss scaling up beyond that when you need more. Sound reasonable? sounds perfect for us Great! Would love to invite you to our Slack Connect for quick feedback, questions, etc. — okay if I send an invite? for sure taking a look at the segment intergration right now. Does that support the chat as well? I know some intergration have issues with those types of thing. ah we're on free slack plan so i dont think we can accept that invite",Product Question
371,is it possible to have our invoices go to billing@hirewithnear.com? yep! thank you! done!,Sales
