ticket_number,ticket_subject,sent_by,ticket_created_on,message_created_on,message,tags
53,,Customer,2022-02-18 23:31:23.897027,2022-02-18 23:31:29.638649,"atlas.bundle.js:1 Uncaught (in promise) TypeError: Cannot convert undefined or null to objectI've been looking into it and tried a few solutions but no luck yet. It only happens on page load, the atlas chat element won't load unless the dev server refreshes.",Product Question
53,,Customer,2022-02-18 23:31:23.897027,2022-02-18 23:31:42.235998,not happening on my computer or our deployment environment,Product Question
53,,Customer,2022-02-18 23:31:23.897027,2022-02-18 23:31:49.408366,any chance this is an easy fix?,Product Question
53,,Agent,2022-02-18 23:31:23.897027,2022-02-18 23:33:38.810665,"Can you send the snippet you are using? Also, happy to jump on the call with the contract dev to figure this out. ",Product Question
53,,Customer,2022-02-18 23:31:23.897027,2022-02-18 23:44:40.804844,"not a blocker, just annoying",Product Question
53,,Customer,2022-02-18 23:31:23.897027,2022-02-18 23:45:26.226584,"yah, let me see if he can reach out",Product Question
53,,Customer,2022-02-18 23:31:23.897027,2022-02-18 23:45:58.505313,send him a zoom or something here - aaron@apexapps.com.au,Product Question
53,,Agent,2022-02-18 23:31:23.897027,2022-02-18 23:46:32.727409,will do,Product Question
53,,Customer,2022-02-18 23:31:23.897027,2022-02-18 23:46:50.124447,he's good people and in australia,Product Question
53,,Customer,2022-02-18 23:31:23.897027,2022-02-18 23:46:59.880639,dont steal him,Product Question
53,,Agent,2022-02-18 23:31:23.897027,2022-02-18 23:49:01.458914,ha ha! never. I reached out. ,Product Question
53,,Agent,2022-02-18 23:31:23.897027,2022-02-19 00:08:59.125421,"I talked to Aaron and found the issue. If name is passed as null, identify call is crashing (only working with undefined or empty string). Will put in a fix today, Aaron is unblocked for now. Thanks for reporting the issue. ",Product Question
53,,Customer,2022-02-18 23:31:23.897027,2022-02-19 03:42:08.666049,"ah yah, thanks",Product Question
70,,Agent,2022-03-03 02:24:25.76092,2022-03-03 02:24:46.671945,hey Chris,Bug
70,,Agent,2022-03-03 02:24:25.76092,2022-03-03 02:25:10.13013,Any issues? ,Bug
70,,Agent,2022-03-03 02:24:25.76092,2022-03-03 02:40:37.750236,"I can reproduce the issue, will fix soon and will let you know.",Bug
70,,Customer,2022-03-03 02:24:25.76092,2022-03-03 02:40:43.036327,cool cool,Bug
73,,Agent,2022-03-07 09:20:25.649072,2022-03-07 09:34:22.546823,"Hi Izak! Not currently, but it's on our roadmap! Would love to hop on a call this week to chat about how you're doing support at Twigs/Steeple.",Sales
73,,Agent,2022-03-07 09:20:25.649072,2022-03-07 15:55:03.665718,"Great! Do any of these times (CST) work for you? March 8 (Tuesday): 3:00 PM - 4:00 PMMarch 9 (Wednesday): 11:15 AM - 12:00 PM, 3:00 PM - 4:30 PMMarch 10 (Thursday): 1:00 PM - 2:00 PM",Sales
73,,Agent,2022-03-07 09:20:25.649072,2022-03-07 16:37:51.912269,Great! I'll send an invite now. Looking forward to chatting!,Sales
77,,Customer,2022-03-07 16:22:24.324787,2022-03-07 16:22:24.324787,Price,Sales
77,,Agent,2022-03-07 16:22:24.324787,2022-03-07 16:34:46.06312,Hi! Our startup package is $200/mo for 5 seats and 10k session recordings. Did you find us through Product Hunt?,Sales
84,,Customer,2022-03-09 04:39:35.618031,2022-03-09 04:39:35.618031,How much,Product Question
84,,Agent,2022-03-09 04:39:35.618031,2022-03-09 04:40:12.959679,"Hi! We have tiered pricing that starts at $200/mo for 5 seats and 10,000 session recordings. Please let me know if would live to setup a demo call?",Product Question
90,,Customer,2022-03-10 19:09:13.853039,2022-03-10 19:09:13.853039,what is the corporate headquarters address,Sales
90,,Agent,2022-03-10 19:09:13.853039,2022-03-10 19:42:00.939731,"4329 Kingfisher Dr, Houston, TX 77035",Sales
90,,Agent,2022-03-10 19:09:13.853039,2022-03-10 19:42:10.779606,How can we help?,Sales
92,,Customer,2022-03-10 21:26:11.110416,2022-03-10 21:26:11.110416,Hey Folks - anything we can do to untag or otherwise filter when recording is enabled? we're ending up with quite a few low-value very short sessions,Feature Request
94,,Customer,2022-03-10 21:30:57.763098,2022-03-10 21:30:57.763098,pinning the 'go back' button to the top of the screen and scrolling just the history beneath it would be very helpful when looking through history - right now i have to scroll back up to 'go back' and that's annoying,Feature Request
95,,Customer,2022-03-10 21:32:32.591055,2022-03-10 21:32:32.591055,it's pretty unexpected that when I reopen the atlas bubble that my previous messages aren't here and it looks like I'm starting from scratch,Bug
96,,Customer,2022-03-11 13:35:39.040095,2022-03-11 13:35:39.040095,hi,Spam
97,,Customer,2022-03-11 13:39:10.601364,2022-03-11 13:39:10.601364,Can you please cancel my account billing,Sales
97,,Agent,2022-03-11 13:39:10.601364,2022-03-11 19:44:44.214148,"Hi John! Yes, of course! Just canceled your subscription and refunded your card.I'd love to chat and see if we'd be a good fit for Hopin. Do you have any availability next week?",Sales
98,,Agent,2022-03-11 15:48:51.656819,2022-03-11 16:04:39.756181,"Hi Michael, thanks for reaching out! We'd love to help you improve the quality of your customer support. We have a few different packages available, but the most popular is our startup package for $200/mo. This gets you 5x seats and 10,000 session recordings/mo.I'd love to hop on a call with you to discuss how you're doing support and see if we could help you improve. Do you have any availability next week to chat?",Sales
98,,Agent,2022-03-11 15:48:51.656819,2022-03-11 16:04:53.757666,You can also contact me at jon@getatlas.io,Sales
100,,Customer,2022-03-14 17:26:15.988338,2022-03-14 17:26:15.988338,Hi there! How much is it?,Sales
100,,Agent,2022-03-14 17:26:15.988338,2022-03-14 17:47:29.466745,"Hi! Our pricing starts at $200/mo for 5 seats and 10,000 sessions. What tools are you using today for your customer support?",Sales
111,,Customer,2022-03-28 14:16:57.249598,2022-03-28 14:16:57.249598,pricing,Sales
111,,Agent,2022-03-28 14:16:57.249598,2022-03-28 18:06:57.798988,"Hi! Our pricing starts at $200/mo for 5 seats and 10,000 sessions. What tools are you using today for your customer support?",Sales
112,,Customer,2022-03-28 16:20:23.461729,2022-03-28 16:20:23.461729,"Hi, do you have a twitter account?",Sales
112,,Agent,2022-03-28 16:20:23.461729,2022-03-28 18:08:11.396324,"Hi, Yes we do have a twitter account. Let us know how we can help? ",Sales
113,,Customer,2022-03-29 18:12:47.706962,2022-03-29 18:12:47.706962,what do you do,Sales
113,,Agent,2022-03-29 18:12:47.706962,2022-03-29 18:13:42.902935,"Hi! Atlas is an all-in-one customer support tool that helps companies improve the quality of their support. We do this by bringing sessions recordings, bugs, and outbound emails together in a simple customer dashboard.",Sales
113,,Agent,2022-03-29 18:12:47.706962,2022-03-29 18:15:23.586477,Do you know what you're using for your customer support today/,Sales
114,,Customer,2022-03-30 20:54:58.329841,2022-03-30 20:54:58.329841,"Hello, do you have any documentation for developers?",Product Question
119,,Customer,2022-04-02 00:49:14.443303,2022-04-02 00:49:14.443303,HI,Sales
119,,Customer,2022-04-02 00:49:14.443303,2022-04-02 00:49:25.374285,Is anyone for chat,Sales
119,,Agent,2022-04-02 00:49:14.443303,2022-04-02 01:15:58.685322,"Hey, how can we help you! ",Sales
129,,Customer,2022-04-07 16:11:28.096843,2022-04-07 16:11:28.096843,Does Atlas also do helpdocs/knowledge centers or is it strictly customer communication + help tickets?,Sales
129,,Agent,2022-04-07 16:11:28.096843,2022-04-07 16:12:55.076482,"Hey, we are building helpdocs/knowledge base right now and should have it ready by end of this month. ",Sales
129,,Customer,2022-04-07 16:11:28.096843,2022-04-07 16:13:20.322569,Awesome!,Sales
129,,Agent,2022-04-07 16:11:28.096843,2022-04-07 16:13:32.095634,Would love to show you what we are building? do you have sometime this week to talk about this. ,Sales
129,,Customer,2022-04-07 16:11:28.096843,2022-04-07 16:13:57.128061,For sure. Do you have a calendly link?,Sales
129,,Customer,2022-04-07 16:11:28.096843,2022-04-07 16:14:05.631972,"My friend, Chris with Loops recommends you guys",Sales
129,,Agent,2022-04-07 16:11:28.096843,2022-04-07 16:14:32.376446,Here is it: https://calendly.com/jon-obryan/30min?month=2022-04,Sales
129,,Customer,2022-04-07 16:11:28.096843,2022-04-07 16:16:01.732937,Done! Looking forward to it,Sales
129,,Agent,2022-04-07 16:11:28.096843,2022-04-07 16:16:37.006209,great! looking forward to talking with you. ,Sales
141,We'd like to Review Getatlas on ReviewsXP.com (A 1000 Words Guide),Agent,2022-04-22 22:36:20.048358,2022-04-24 08:47:08.839515,Note to self: don't write emails like this,Spam
156,,Customer,2022-04-28 18:41:08.191055,2022-04-28 18:41:08.191055,Hey,Sales
156,,Agent,2022-04-28 18:41:08.191055,2022-04-28 19:01:09.073012,Hi! How can we help?,Sales
161,,Customer,2022-05-04 17:13:08.969048,2022-05-04 17:13:08.969048,Is Atlas SOC 2 compliant?,Sales
161,,Agent,2022-05-04 17:13:08.969048,2022-05-04 18:08:31.282927,we’re in the process of getting SOC2 compliance and hope to be so in the next few months!,Sales
161,,Customer,2022-05-04 17:13:08.969048,2022-05-09 14:14:41.295857,thanks!,Sales
161,,Agent,2022-05-04 17:13:08.969048,2022-05-09 14:16:03.490468,of course! Happy to answer any other questions if you have them.,Sales
161,,Customer,2022-05-04 17:13:08.969048,2022-05-09 15:02:05.146885,We're just in the process of evaluating tools for support. One of our requirements for including 3rd party libraries on our website is SOC2 compliance,Sales
177,,Customer,2022-05-18 14:32:11.347353,2022-05-18 14:32:11.347353,Pricing,Sales
177,,Agent,2022-05-18 14:32:11.347353,2022-05-18 14:41:22.580417,we charge $200 per month for 5 seats and 10k sessions.,Sales
178,,Customer,2022-05-18 19:14:16.58763,2022-05-18 19:14:16.58763,Pricing,Sales
178,,Agent,2022-05-18 19:14:16.58763,2022-05-23 17:33:57.796141,we charge $200 per month for 5 seats and 10k sessions.,Sales
180,,Customer,2022-05-24 14:28:23.231754,2022-05-24 14:28:23.231754,its not letting me copy links into atlas,Bug
180,,Agent,2022-05-24 14:28:23.231754,2022-05-24 17:49:50.6643,"Hi Lara, sorry for the delayed response here! This is how you add a link:",Bug
180,,Agent,2022-05-24 14:28:23.231754,2022-05-24 17:56:37.213779,"There are also two other ways you can hyperlink text:copy a link → paste it over the text you'd like to linkhighlight text and press Cmd+K (if you're on a Mac, Windows+K if you're on a PC) to bring up the link menuLet me know if you have any problems with it!Also, something I noticed might be helpful for you are the canned responses (you can get to them here). To add them in the composer, just type ""#"" and then you can search through your saved canned responses really quickly.",Bug
180,,Customer,2022-05-24 14:28:23.231754,2022-05-24 18:09:30.389195,"Hi i meant i can not paste a link into the cht bubble unless it is wrapped in other text for example: if i try to just paste ""www.Avocademy.com"" it wouldnt let me but if i try to paste "" this is the link to our website www.avocademy.com "" it does",Bug
180,,Agent,2022-05-24 14:28:23.231754,2022-05-24 18:55:10.434764,"ahh got it — will look into this now, thanks Lara!",Bug
180,,Agent,2022-05-24 14:28:23.231754,2022-06-01 16:02:01.051689,"Hi Lara, Sorry for the late reply, we fixed this issue last week. Please let me know if you face any other issue. Thanks,",Bug
180,,Customer,2022-05-24 14:28:23.231754,2022-06-01 17:04:11.643598,thank you!,Bug
208,,Agent,2022-06-24 05:32:01.204571,2022-06-30 02:27:16.997364,"Our startup package is $200/mo for up to 5 seats and 10,000 session recordings/mo. Please let me know if you are interested in getting seeing a demo? ",Sales
241,,Agent,2022-07-15 02:00:55.458539,2022-07-15 02:13:16.85513,Hi Yosuke! What are your prices for engs? And where are they located?,Sales
243,,Customer,2022-07-15 13:45:41.313591,2022-07-15 13:45:41.313591,Do you only do chat?,Sales
243,,Customer,2022-07-15 13:45:41.313591,2022-07-15 13:46:23.274603,Or can I integrate SMS and emails and calls to Atlas as well?,Sales
243,,Customer,2022-07-15 13:45:41.313591,2022-07-15 14:22:33.676717,Hello,Sales
243,,Agent,2022-07-15 13:45:41.313591,2022-07-15 14:44:19.410305,"Hi Casey! Apologies for the delayed response. We do do chat, email, and SMS. To setup email, you can go here. For SMS, we have to set this up manually with you, but can do that later today on our setup call.",Sales
243,,Customer,2022-07-15 13:45:41.313591,2022-07-15 15:03:46.683477,Thank you!,Sales
255,,Customer,2022-07-21 14:54:05.36807,2022-07-21 14:54:05.36807,it won't let me send images,Bug
255,,Customer,2022-07-21 14:54:05.36807,2022-07-21 14:54:17.663554,Autocorrect would also be very helpful,Bug
255,,Agent,2022-07-21 14:54:05.36807,2022-07-21 15:20:27.105612,"Hi Lara, sorry about that -- looking into this issue now. In the interim, you can open the filepicker and drag-and-drop onto it like this:",Bug
255,,Customer,2022-07-21 14:54:05.36807,2022-07-21 16:00:26.010502,"Hi! No worries, I am dragging and dropping into the filepicker and it sends but doesn't appear like it sent.",Bug
255,,Agent,2022-07-21 14:54:05.36807,2022-07-21 17:21:29.07126,"Hi Lara, we fixed the issue with send not sending attachment. &nbspCould you please refresh the page and give it a try?",Bug
261,,Customer,2022-07-27 16:11:26.442874,2022-07-27 16:11:26.442874,"Hey Guys, we aren't using Atlas so unfortunately I'd like to cancel our subscription. Can you process that? No sign of billing section in the UI AFAICS.",Sales
261,,Agent,2022-07-27 16:11:26.442874,2022-08-01 05:55:43.211159,"Hey Sam, just canceled your subscription. Are there any specific features that would cause you guys to reconsider in the future? (Previously, I wrote down that you were looking for a GDPR compliant permission request before transmitting session recordings and for emails to come from your email address directly — anything else?)",Sales
261,,Agent,2022-07-27 16:11:26.442874,2022-08-01 14:53:16.389459,"This is super helpful, thanks Sam! Any chance you’ve got a few minutes later this week to dig in on some of these so I can understand them a little better?",Sales
261,,Agent,2022-07-27 16:11:26.442874,2022-08-03 16:54:31.833388,"Thanks Sam! Cesar, if it’s any easier, here’s my calendly.",Sales
261,,Agent,2022-07-27 16:11:26.442874,2022-08-04 20:20:36.1414,Thank you! Here you go: https://calendly.com/jon-obryan/30min,Sales
271,,Agent,2022-08-08 21:28:23.55442,2022-08-09 03:36:10.075272,"Hi Max, yes we do support SMS! Do you have a Twilio number you’d like to migrate over or would you like to get a new one?",Feature Request
271,,Agent,2022-08-08 21:28:23.55442,2022-08-10 04:51:05.862707,"I spent some time digging around to see if Klaviyo allows you to use an existing Twilio number but couldn’t find anything published online (including in their help center). My guess is that the answer will probably be “no”, unfortunately. They don’t have publicly available support, but you should be able to get in touch here. The question for them is whether or not they’ll let you keep ownership of your Twilio number or get access to an API key for the underlying Twilio number so you can use it with another service (Atlas).",Feature Request
271,,Agent,2022-08-08 21:28:23.55442,2022-08-10 20:11:00.014491,"Dang, sorry about that. There could be a few motivations for this, but I suppose it’s a moot point at the moment. With Atlas, you can either connect an existing Twilio number that you have access to or you can create a number through Atlas (we automatically provision it under the hood).",Feature Request
279,,Agent,2022-08-15 10:53:45.688435,2022-08-15 12:34:46.627125,Hi! Our pricing starts at $200/mo for 5 seats and 10k sessions recorded/mo.,Sales
282,,Customer,2022-08-23 17:42:09.044006,2022-08-23 17:43:41.177904,Hi,Sales
282,,Agent,2022-08-23 17:42:09.044006,2022-08-24 12:54:51.524858,"Hi! For our core product, it’s $200/mo for 5 seats and 10k sessions/mo. Additional seats are $40/seat/mo and additional sessions are $5/1k sessions.",Sales
289,,Customer,2022-08-30 20:35:18.615241,2022-08-30 20:35:18.615241,Hey team! I was reviewing a recording and capturing console logs with a customer doing a live test of our new platform and while looking at the video I noticed it is very jumbled- like the CSS has been removed,Bug
289,,Customer,2022-08-30 20:35:18.615241,2022-08-30 20:35:36.747846,https://app.getatlas.io/sessions/436a6fe8-67bf-48ba-83eb-0bc99802c06a?time=2499,Bug
289,,Agent,2022-08-30 20:35:18.615241,2022-08-30 21:37:16.873173,"Hey Travis! Digging into this now, apologies!",Bug
289,,Customer,2022-08-30 20:35:18.615241,2022-08-31 15:25:49.287181,Thanks!,Bug
307,,Agent,2022-09-21 04:59:48.602006,2022-09-21 06:32:55.706824,Hi Michael! Our pricing starts at $200/mo for our startup package which includes 5 seats and 10k sessions/mo. Does that align with what you’re looking for?,Sales
313,,Customer,2022-10-06 21:20:34.861956,2022-10-06 21:20:34.861956,"Hi, we're just setting atlas up and ran into a problem: our business name contains the letter Ö, which isn't supported in eMail-Adresses. Could you change our eMail-Adress from dönerme to doenerme in the beginning? Would love trying atlas :)",Bug
313,,Agent,2022-10-06 21:20:34.861956,2022-10-06 22:01:01.661567,"Hi Jannis! Nice to meet you! Looks like it’s updated, let me know if you have any issues with it going forward.Also, would love to meet you and get your first impressions. Have any time to chat next week? (Here’s my calendar if that’s easier.)",Bug
313,,Agent,2022-10-06 21:20:34.861956,2022-10-07 16:11:28.248183,"Yeah apologies for the delayed response -- we're a fully remote team, but I'm based in Houston, TX. I'm happy to do later or earlier hours if there are some good times for you.",Bug
316,,Customer,2022-10-10 19:15:20.816733,2022-10-10 19:15:20.816733,"Hello, I have a question regarding the session recordings. Do you record the last 45 sec before the user contacted us via chat? Or do you record all the session and it's not necessary that the user contact us?",Product Question
316,,Agent,2022-10-10 19:15:20.816733,2022-10-10 20:29:31.889643,"Hi Samuel, thanks for reaching out! We record the entire session, regardless of whether or not a customer has reached out.",Product Question
316,,Customer,2022-10-10 19:15:20.816733,2022-10-10 20:42:19.880369,"Oh perfect, thanks! Tomorrow we I'll ask to add Atlas to a developer :)",Product Question
316,,Agent,2022-10-10 19:15:20.816733,2022-10-10 20:42:53.840092,Great! Let me know if I can be helpful in the process (happy to hop on and answer any developer questions or your questions).,Product Question
316,,Agent,2022-10-10 19:15:20.816733,2022-11-16 18:33:27.33471,"Hey Samuel, Just wanted to reach out and see if you were able to add Atlas, if not happy to jump on a call with you or your team and set it up. Also, can show you different features we have. Let me know if you any availability this week. ",Product Question
318,,Agent,2022-10-11 14:38:08.70903,2022-10-11 15:54:23.972708,Hi Uday! We’re in the process of certifying for SOC2 with Vanta. Vanta can provide us a letter since we are in the process and that generally covers folks SOC2 requirements.,Product Question
320,,Customer,2022-10-12 20:37:06.210483,2022-10-12 20:37:06.210483,"How to change the button label ""Chat with us"" and textarea placeholder ""Start a new message...""",Feature Request
320,,Agent,2022-10-12 20:37:06.210483,2022-10-12 22:15:31.93195,"Hi! We don't currently have that option, but could add it pretty easily. Also, I'd love to hop on a quick call and help you get setup and oriented with Atlas. Have any availability later this week? (Or, here's my calendly if that's easier.)",Feature Request
327,,Customer,2022-10-27 18:37:29.931025,2022-10-27 18:37:29.931025,asdasdas,Sales
327,,Customer,2022-10-27 18:37:29.931025,2022-10-27 18:38:16.551699,What is your guys pricing?,Sales
327,,Agent,2022-10-27 18:37:29.931025,2022-10-27 18:39:27.638182,"Hi Ben, Our startup package is $200/mo for up to 5 seats and 10,000 session recordings/mo.",Sales
327,,Agent,2022-10-27 18:37:29.931025,2022-10-27 18:40:11.162951,"Let me know if you need any help getting setup, happy to jump on a call based on your availability. ",Sales
327,,Customer,2022-10-27 18:37:29.931025,2022-10-27 18:40:46.057764,"Cool, am I in a trail period rn?",Sales
327,,Agent,2022-10-27 18:37:29.931025,2022-10-27 18:41:33.931378,"Yes, we have 15 day free trail.",Sales
327,,Agent,2022-10-27 18:37:29.931025,2022-11-16 18:31:51.962196,"Ben, Just wanted to reach back out and see if you need any help with setting up Atlas. Would love to show you the tool if you have 15-30 mins of time. ",Sales
328,,Customer,2022-10-27 23:27:07.894212,2022-10-27 23:27:07.894212,"Hi Kishan, are you there?",Spam
329,,Agent,2022-10-28 02:00:42.984943,2022-10-28 06:25:12.679248,"Hi Vlad! We don’t currently integrate with LINE, but it’s on the roadmap (when we do integrate it, it will be native in our app). And we currently only offer chat on mobile (session recordings are currently web-only — should have session recording for mobile in Q1).Would love to learn more about what you’re building and your use case!",Product Question
330,,Customer,2022-10-28 17:05:05.633636,2022-10-28 17:05:05.633636,Can you please close the account so that we don't get charged again? Also- can you let me know the last date of billing on our account please?,Sales
330,,Agent,2022-10-28 17:05:05.633636,2022-10-28 17:09:43.204892,"Michael, I have cancelled your subscription and issued a credit for the charge that was made yesterday. &nbspYou effective last day of billing Sep 27th. &nbsp &nbspPlease let me know if you need anything else from us.",Sales
330,,Customer,2022-10-28 17:05:05.633636,2022-10-28 17:09:57.370214,Ah- great! Thanks so much- really appreciate it,Sales
330,,Customer,2022-10-28 17:05:05.633636,2022-10-28 17:10:08.136653,Liked the product- just wrong timing for us,Sales
330,,Agent,2022-10-28 17:05:05.633636,2022-10-28 17:11:12.067334,"Let us know whenever you are looking for a support tool again — we have lot of new, exciting features lined up.",Sales
347,,Customer,2022-11-16 14:19:21.529606,2022-11-16 14:19:21.529606,qwe,Sales
347,,Customer,2022-11-16 14:19:21.529606,2022-11-16 14:53:52.093511,"hi there, i could see a pricing page do you have one?",Sales
347,,Customer,2022-11-16 14:19:21.529606,2022-11-16 14:53:57.926248,couldn't*,Sales
347,,Agent,2022-11-16 14:19:21.529606,2022-11-16 14:55:13.80466,"Hi! We're adding one, but our pricing is $200/mo for 5 seats and 10k session recordings/mo.",Sales
347,,Agent,2022-11-16 14:19:21.529606,2022-11-16 14:56:07.24884,Would you like to schedule a time to chat about what you're looking for and how we can help?,Sales
348,,Customer,2022-11-16 14:23:07.724759,2022-11-16 14:23:07.724759,Hi Moz.,Spam
348,,Customer,2022-11-16 14:23:07.724759,2022-11-16 14:23:34.049733,Send me Todd’s email and I’ll handle it.,Spam
356,,Customer,2022-11-21 12:21:34.983828,2022-11-21 12:21:34.983828,hello there,Sales
356,,Agent,2022-11-21 12:21:34.983828,2022-11-21 12:21:41.469393,hello,Sales
356,,Customer,2022-11-21 12:21:34.983828,2022-11-21 12:21:52.871775,could you tell me about your pricing?,Sales
356,,Agent,2022-11-21 12:21:34.983828,2022-11-21 12:22:02.495951,of course! where are you based?,Sales
359,Development Inquiry,Agent,2022-11-29 11:19:14.325702,2022-11-29 17:25:17.458241,"Hi Majida, I think we’re good to go here for now. Thanks for reaching out, though!",Spam
365,,Agent,2022-12-07 14:44:22.079197,2022-12-08 06:13:29.886162,"Hey Pedro, Great timing! we are adding Whatsapp as a channel right now and should have it in next couple of days. Do you have sometime this week, would love to show you different features of Atlas. ",Product Question
371,,Customer,2022-12-16 14:08:51.353272,2022-12-16 14:08:51.353272,is it possible to have our invoices go to billing@hirewithnear.com?,Sales
371,,Agent,2022-12-16 14:08:51.353272,2022-12-16 14:24:31.587784,yep!,Sales
371,,Customer,2022-12-16 14:08:51.353272,2022-12-16 14:41:39.745169,thank you!,Sales
371,,Agent,2022-12-16 14:08:51.353272,2022-12-26 18:51:16.586546,done!,Sales
373,,Customer,2022-12-19 14:07:53.020818,2022-12-19 14:07:53.020818,using the API how can we create a new message on a new conversation? tried the conversations endpoint with a post without luck. looking at the API docs doesn't look like it's possible? https://atlas-support-api.readme.io/reference/send_message_v1_conversations__id__messages_post,Feature Request
373,,Customer,2022-12-19 14:07:53.020818,2022-12-19 14:09:02.085422,we're revamping our onboarding and would like messages 'sent' from our trial users to end up as messages in atlas,Feature Request
373,,Agent,2022-12-19 14:07:53.020818,2022-12-19 16:19:59.252099,"hey. I have verified the bug, and would be shipping a fix soon. Will let you know as soon as the fix is in the prod.",Feature Request
373,,Agent,2022-12-19 14:07:53.020818,2022-12-19 22:16:52.042686,"hey, checkout the API here - https://atlas-support-api.readme.io/reference/create_conversation_v1_conversations_post hope that this solves your usecase.",Feature Request
373,,Agent,2022-12-19 14:07:53.020818,2022-12-20 14:52:01.270439,"no worries, do LMK if something doesn't work.",Feature Request
