ticket_number,ticket_subject,sent_by,ticket_created_on,message_created_on,message,tags
388,,Agent,2023-01-04 17:42:48.566203,2023-01-04 23:59:10.349633,"Olá Yasmin! Acabei de entrar em contato com você via Whatsapp, você recebeu?",Sales
395,,Customer,2023-01-17 13:02:53.198446,2023-01-17 13:02:53.198446,"Hello, Can i please get my account and organisation deleted? Thanks!",Sales
400,,Customer,2023-01-19 22:37:58.616883,2023-01-19 22:38:23.234222,"agh, thanks for the heads up — updating termly now...",Product Question
407,Changing Plan for WeReno,Agent,2023-02-01 02:17:55.888264,2023-02-01 02:20:17.749760,Hey Amrit! This is Jon. Happy to get you switched to another plan. Any chance we come hop on a call to learn about where you guys are today?,Sales
413,,Customer,2023-02-13 03:29:12.296538,2023-02-13 03:29:12.296538,"one of my customers just mentioned that spaces show up as ""&nbsp"" on their end",Bug
414,,Customer,2023-02-13 21:34:24.000779,2023-02-13 21:34:24.000779,Do you have a help center?,Product Question
416,,Customer,2023-02-16 22:21:54.949569,2023-02-16 22:21:54.949569,Hey Atlas,Spam
420,,Customer,2023-02-20 10:13:40.646479,2023-02-20 10:13:40.646479,"Hello, can we enquire on getting more session recordings",Product Question
421,,Customer,2023-02-20 14:31:44.845214,2023-02-20 14:31:44.845214,Fuck you,Spam
423,,Customer,2023-02-22 19:37:56.131169,2023-02-22 19:37:56.131169,"I can't find any reporting on help center activity, can you help?",Feature Request
424,,Customer,2023-02-23 17:10:39.870395,2023-02-23 17:10:39.870395,crea unahistoria,Spam
425,,Customer,2023-02-24 14:05:26.767051,2023-02-24 14:05:26.767051,تولدمه نامه بنویس,Spam
430,,Customer,2023-03-01 13:54:28.096664,2023-03-01 13:54:28.096664,How much is pricing?,Sales
434,,Customer,2023-03-06 16:17:06.824441,2023-03-06 16:17:06.824441,"I need the invoice from last month, where can I find it?",Sales
437,,Agent,2023-03-07 18:20:30.104939,2023-03-07 18:20:54.202898,How can I help you?,Sales
444,,Customer,2023-03-10 14:59:03.902523,2023-03-10 14:59:03.902523,Hey! How can I update the credit card?,Sales
447,,Customer,2023-03-15 13:29:25.980886,2023-03-15 13:29:25.980886,We have disabled the sceen recordings. But the tickets are still recording screens of the users. How we stop this?,Product Question
448,,Customer,2023-03-15 13:30:13.765541,2023-03-15 13:30:13.765541,"Hi Team,I want to setup page specific chatbot responses hence I have not added * in the URL.But the chatbot responses are reflecting on all pages of the product. Can someone guide on how do I control this?",Feature Request
449,,Customer,2023-03-15 13:36:11.433503,2023-03-15 13:36:11.433503,UI is not looking good on my screen. Attaching the SS for reference.,Bug
450,,Customer,2023-03-16 10:47:57.112478,2023-03-16 10:47:57.112478,I can't search session recordings by name or org name.....,Product Question
451,,Customer,2023-03-16 12:35:29.651329,2023-03-16 12:35:29.651329,Why is this happening(error)?,Product Question
452,,Customer,2023-03-16 19:14:03.782264,2023-03-16 19:14:03.782264,Do you have SDKs for Android and iOS apps too?,Feature Request
455,,Agent,2023-03-23 13:33:03.109542,2023-03-23 14:13:45.183388,"Hi Julia, great to meet you! We’re big fans of Awari.Some quick bullet points on Atlas:Atlas is an all-in-one customer support solution that brings together customer data with ticketingCustomer data includes things like session recordings (watch your users), custom data and events from your application (user fields you have in your system), CRM data (via integration), and bug data (to help support and engineering when debugging user issues)We support chat, email, SMS, and WhatsApp for communication channelsWe also have a Help Center and Chatbot products so you can give your customers answers without using your agents’ timeWould love to hop on a call and introduce myself. Open for a chat? (Here’s my calendly if so!)Best,Jon",Sales
456,,Customer,2023-03-23 14:00:33.818391,2023-03-23 14:00:33.818391,How can I setup custom domain for this? our custom domain that we want to setup is `help.rdash.io`,Product Question
459,,Customer,2023-03-27 02:33:03.19527,2023-03-27 02:33:27.860776,Thanks,Spam
480,,Customer,2023-04-19 11:37:08.004971,2023-04-19 11:37:08.004971,jq library dont work after install your snippet,Product Question
481,,Customer,2023-04-19 13:39:03.915912,2023-04-19 13:39:03.915912,"Hey! We're trying to build an asset on our website but we cannot deploy it properlyy because the chatbot is blocking the jq. Our developer chatted with Webflow support and told us that: ""The script that connects the chatbot blocks the work of one of the main plugins - jQuery. because of this, the functionality of the site, which is written on this plugin, does not work. And an important remark: jQuery is not connected by us, but it is installed by default in every project created on webflow.""Is there any way for us to solve this?",Bug
490,,Customer,2023-04-24 15:33:30.496511,2023-04-24 15:33:30.496511,Hi,Bug
502,,Agent,2023-04-27 06:08:40.319025,2023-04-27 06:08:51.286451,Really?,Spam
515,,Customer,2023-04-27 07:06:20.310444,2023-04-27 07:06:20.310444,"Hello,I hope this email finds you well. My name is Jupal and I am reaching out to inquire about your company's bug bounty program. As a cybersecurity enthusiast, I am always looking for opportunities to improve my skills and knowledge while helping to secure websites and applications.I did some research on your website and was not able to find any information about a bug bounty program. I was wondering if you have a private program in place or if you are considering launching one in the future. If so, I would be interested in learning more about the program and potentially participating.I understand that maintaining a secure website or application can be challenging, and I believe that responsible disclosure of security vulnerabilities is crucial to maintaining a strong security posture. By offering a bug bounty program, companies can incentivize security researchers to report vulnerabilities in a responsible manner and help prevent data breaches and other security incidents.Thank you for your time and consideration. I look forward to hearing back from you soon.Best regards,Jupal",Spam
517,,Customer,2023-04-28 16:25:38.109742,2023-04-28 16:25:38.109742,Hi I want to learn how your product is different from Feshdesk?,Sales
518,,Customer,2023-04-28 22:52:02.588069,2023-04-28 22:52:02.588069,can you tell me about your pricing?,Sales
522,,Customer,2023-05-01 23:33:06.948465,2023-05-01 23:33:06.948465,Can we set up a demo/onboarding call,Sales
523,,Customer,2023-05-02 05:40:42.861447,2023-05-02 05:40:42.861447,"Hey, I was wondering if by any chance a Discord integration was about to be released?",Feature Request
524,,Customer,2023-05-02 15:21:06.895949,2023-05-02 15:21:06.895949,the chat button is not clickable,Bug
527,,Customer,2023-05-09 02:52:00.556188,2023-05-09 02:52:00.556188,What is atlas,Sales
528,,Customer,2023-05-09 13:34:25.375835,2023-05-09 13:34:25.375835,Hi there - how much are the chatbot and help center addons for the Free plan?,Bug
530,,Customer,2023-05-09 18:53:25.931449,2023-05-09 18:53:25.931449,Hello,Sales
531,,Customer,2023-05-10 00:08:51.925989,2023-05-10 00:08:51.925989,where is pricing,Sales
545,,Customer,2023-05-15 04:30:30.40878,2023-05-15 04:30:30.408780,"Hey, a couple of questions: 1. What's the difference between User and Customer within Atlas? 2. Is there a minimum seat requirement in Growth? 3. Can we initiate emails to users from within Atlas? Or is this inbound only?",Product Question
547,,Customer,2023-05-15 18:56:51.079634,2023-05-15 18:56:51.079634,talk to agent,Sales
549,,Customer,2023-05-17 17:15:50.986651,2023-05-17 17:15:50.986651,enterprise prices,Sales
550,,Customer,2023-05-19 19:00:55.395745,2023-05-19 19:00:55.395745,do you have a community feature?,Product Question
552,,Customer,2023-05-23 15:55:15.727982,2023-05-23 15:55:15.727982,How I resolve the logo error?,Bug
553,Started via Slack by @Rahul Asati,Agent,2023-05-23 16:04:06.729517,2023-05-23 16:11:13.694138,Here you go!,Product Question
554,,Customer,2023-05-23 16:25:23.755322,2023-05-23 16:25:23.755322,would be great if you had some tips on how to add atlas to a next.js app :),Feature Request
557,Fwd: Turning off Chat,Agent,2023-05-23 16:39:54.528832,2023-05-24 06:56:11.812799,"Hey Travis, You could disable the atlas chat but still keep session recording by change the Atlas start call to following in you code: window.Atlas.start({ chat: { enabled: false }}) Let me know if you have questions, happy to jump on a call to help get this updated for you. Thanks,Rahul",Product Question
563,,Customer,2023-05-24 08:03:52.772917,2023-05-24 08:03:52.772917,"hi there, do you have a feature to automatically follow up convos? Let's say, I sent a message to the client. Then I want to follow up, but I want to automate it. So I set it up, that in 2 days the system will send follow up message and then closes the chat in the next 12 hours if there's no response from the client.",Product Question
571,Started via Slack (#atlas-padsplit) by @Piyush Raj,Agent,2023-05-25 18:16:29.998786,2023-05-30 22:18:18.793733,"Hey Luciano, sorry for the delayed response here -- do you have an example of a member we could take a look at? It could be due to a few things, but usually if the recording isn't happening, it's because the recording code isn't being triggered in the app (ie, there's some way for a member, host, or admin to login to PadSplit without triggering the Atlas SDK, so we just need PS eng to add the snippet to those entry points). There are potentially quite a few entry points, so if you've got an example, it'd be super helpful for Josh and Mykola to pin down what's going on.",Bug
573,,Customer,2023-05-27 20:01:29.154124,2023-05-27 20:01:29.154124,the script does not work,Bug
574,Started via Slack (#atlas-firstdelivery) by @Piyush Raj,Agent,2023-05-30 14:55:26.826187,2023-05-30 14:56:09.264479,Taking a look at this right now jp,Product Question
575,,Customer,2023-05-30 15:02:41.632997,2023-05-30 15:07:38.035685,hello?,Product Question
577,,Customer,2023-05-30 19:15:35.892589,2023-05-30 19:15:35.892589,hey all,Feature Request
579,,Customer,2023-05-31 21:54:40.978608,2023-05-31 21:54:40.978608,Hey im using next.js and I'm wondering if there's an easy way to hide the atlas buttons on specific pages. I plan on switching over to a custom integration that manages the open/closed state at some point but looking for a quick fix to prevent it from covering part of my UI in the meantime,Product Question
580,,Customer,2023-06-01 08:16:58.583584,2023-06-01 08:17:03.523072,"Hello, I am Community Manager at betapage.co we would like to invite you to get featured in our Newsletter. Please get back to us for more information.",Spam
581,,Customer,2023-06-01 09:06:03.272151,2023-06-01 09:06:08.899655,"aGet Product Hunt upvotes to become Product of the day/week/month.100% Guarantee that your product will rank in the top five positions. We can begin work at any time during the competition.That means you can place an order with us at any time during the competition.GooRapid ProductHunt Services:?? Product Hunt Upvotes - BEST SELLING?? Product Hunt Profile Reviews?? Product Hunt Comments?? AND MANY MORE SERVICESTODAY ? Save 10% storewide.??Coupon Code = 10%atgoorapidUpvotes Link: https://goorapid.com/product/buy-product-hunt-upvotesPayment Method: PayPal, Credit Card, Crypto, Payoneer, Wise, and Bank TransferNoReply Email: You can contact us on Live Chat or on WhatsApp: +447848146213Thank you,RegardsGooRapid Team",Spam
584,,Customer,2023-06-01 11:53:55.528354,2023-06-01 11:54:04.624352,Anyone there?,Spam
591,,Customer,2023-06-02 05:10:19.422684,2023-06-02 05:10:19.422684,ok,Sales
592,,Customer,2023-06-02 05:51:24.03569,2023-06-02 05:51:24.035690,"we (post series A, Fintech) are using clearfeed for this but just started and this product as having a shortlist of extra features. Can you clarify your pricing? Is it 40/month per person in our slack responding?",Sales
594,Started via Slack (#atlas-loops) by @Rahul Asati,Agent,2023-06-02 17:04:52.672705,2023-06-02 17:09:56.518403,"Adam, you will have to enable “Atlas for Slack Connect” to give Atlas permission to able to listen to event and read these channels https://app.getatlas.io/configuration/integrations/slack-v2",Bug
595,,Customer,2023-06-02 18:59:40.411663,2023-06-02 18:59:40.411663,Ola,Sales
599,Started via Slack (#atlas-rootine) by @Piyush Raj,Agent,2023-06-05 12:37:45.484784,2023-06-05 12:58:56.799980,"we have identified the issue, shipping a fix asap.",Bug
601,Started via Slack (#atlas-firstdelivery) by @Piyush Raj,Agent,2023-06-06 16:24:39.645022,2023-06-06 20:19:45.410238,"@jp, apologies for delay here — getting this now…",Product Question
612,,Customer,2023-06-12 11:34:25.255599,2023-06-12 11:34:25.255599,We should integrate the Analytics Data from LeadMagic into GetAtlas,Sales
618,"Re: 👋 Welcome to Atlas, Ravi!",Agent,2023-06-15 17:39:34.701684,2023-06-15 18:06:30.570231,"Hey Ravi, please check that the primary support channel has been configured.",Bug
620,,Customer,2023-06-16 09:42:35.85228,2023-06-16 09:42:35.852280,"hi there, please tell me, why it's greyed out?",Product Question
623,Started via Slack (#atlas-awari) by @Rahul Asati,Agent,2023-06-19 16:31:02.92572,2023-06-19 17:04:35.384223,"Thanks for the heads up here, Lucas. Taking a look into this now, will circle back when we get it resolved!",Bug
624,,Customer,2023-06-19 21:38:56.075133,2023-06-19 21:38:56.075133,Do you have any plans that might have fewer than 5 seats with whatsapp?,Sales
625,,Customer,2023-06-21 06:21:17.939113,2023-06-21 06:21:17.939113,Preview of our chat bot,Product Question
629,Started via Slack (#atlas-salesbricks) by @Piyush Raj,Agent,2023-06-27 05:38:33.939648,2023-06-27 05:47:33.131802,Got it! adding it our feature list — will have it soon!,Product Question
630,Started via Slack (#atlas-awari) by @Piyush Raj,Agent,2023-06-27 14:14:21.834948,2023-06-27 16:59:34.242650,"Hey Lucas, we are adding CSAT to search and you will able to see all tickets for any rating there — we will have this in next few days.",Feature Request
634,,Agent,2023-06-28 14:28:22.200845,2023-06-28 14:29:26.968390,"hey, we have recently removed that option from the FrontEnd, we are rethinking the implementation of this setting.For Bytebeam we can directly set this in database. We will do that.",Feature Request
635,,Agent,2023-06-28 14:30:52.954588,2023-06-28 14:32:08.639266,got it.So maybe editing ticket subject would be something that we should be thinking about.,Feature Request
636,,Agent,2023-06-28 14:36:58.548231,2023-06-28 14:38:13.979348,"makes sense. Have assigned all these new discussions to Jon, I think we should be able to resolve these fairly quickly.",Feature Request
640,,Customer,2023-06-30 05:39:05.078175,2023-06-30 05:39:05.078175,Hi Do you have a page where we can see the customer stories or reviews?,Sales
641,,Customer,2023-06-30 15:03:03.704831,2023-06-30 15:03:21.040403,hi,Sales
642,,Agent,2023-07-03 19:01:04.100224,2023-07-03 19:01:54.667178,will look into this ASAP..,Bug
643,Sendgrid Message Status Processing,Agent,2023-07-04 15:30:46.512815,2023-07-04 15:34:39.160455,"Hi Marcia, apologies for the issues you ran into! We're taking a look into these now, will circle back with you shortly when we've identified the issue(s). ",Product Question
651,,Customer,2023-07-10 23:22:17.889559,2023-07-10 23:22:17.889559,need tech help about custom events,Product Question
652,,Agent,2023-07-10 23:31:12.323015,2023-07-10 23:31:12.323015,yes correct -- external-id in https://developers.getatlas.io/reference/create_event_v1_events_post end point is event-id. I will update the documentation so it is clear. ,Product Question
653,,Customer,2023-07-11 08:25:05.855307,2023-07-11 08:25:05.855307,Hey !I'm trying to upload an article contains youtube video link. Every time it shows me that your current version is not published. Please help me to get out of this situation.,Bug
654,,Agent,2023-07-17 16:59:47.112765,2023-07-18 10:41:38.730785,"hey Adam, this should be fixed now.It was a problem with the parser, it looks for 2 _ s, and then tries to create a i tag out of it.",Bug
655,,Customer,2023-07-18 09:32:15.337722,2023-07-18 09:32:15.337722,How much can I deposit for my easy buy,Spam
656,,Agent,2023-07-18 14:04:59.37244,2023-07-18 14:08:16.377388,"hey Lucas, there isn't yet a way to export conversations in the shared format.If we were to understand the use-case more deeply, we would be able to better design and prioritize this feature.",Feature Request
657,,Agent,2023-07-18 14:40:06.5467,2023-07-18 19:50:34.863129,"Hey Devin, apologies just saw this message. It’s not currently possible, but this is definitely something we’ve considered. Let me talk to the team really quickly to find out the level of effort required. From your end, what would you rank the priority on this (H/M/L)?",Feature Request
659,,Agent,2023-07-20 12:42:38.024916,2023-07-20 12:42:39.474784,Let me check this out.,Bug
660,,Agent,2023-07-21 19:10:57.445993,2023-07-21 19:14:45.500630,"We are working on a new version of the Customer Profile, actively under QA.With the stable launch of Customer Profile V2, this would be possible.If you are interested, we can enable the preview-version of the same for Rootine as well.",Feature Request
661,,Agent,2023-07-24 15:48:16.465074,2023-07-26 16:41:56.450090,"Hey Marcia, We have fixed this issue that caused this. Please let us know if you see this or any other issue with the platform. Thanks,Rahul",Bug
663,,Agent,2023-07-25 12:03:25.042997,2023-07-25 12:03:25.530199,awesome!,Feature Request
664,,Agent,2023-07-25 15:06:23.622455,2023-07-25 15:06:55.863979,"hey Nelson, looking into this.",Bug
666,,Customer,2023-07-26 09:26:06.508817,2023-07-26 09:26:06.508817,how can i customize the email answer format?,Feature Request
668,,Agent,2023-07-26 14:24:06.953064,2023-07-26 14:26:06.580785,Currently it,Feature Request
676,,Customer,2023-07-27 09:56:12.842149,2023-07-27 09:57:15.625588,I am sending events from Segment and they are not updating customer infos. I believe it's because the custom fields I want to update are not setup correctly but I couldn't find any documentation on this,Product Question
677,,Agent,2023-07-27 22:28:37.602484,2023-07-27 22:28:38.175818,fixing this is right away,Bug
