ticket_number,ticket_subject,sent_by,ticket_created_on,message_created_on,message,tags
43,,Customer,2022-02-11 04:02:04.382878,2022-02-11 04:13:33.584691,"its possible the first time I called it, I passed undefined for the name, but I have called it with the name ""Adam Dev"" reliably now :-)",Bug
43,,Agent,2022-02-11 04:02:04.382878,2022-02-11 04:13:57.56909,"found the issue -- only fields are getting updated once user is already created in Atlas (email/name are not). let me fix that tonight. I think if you try for a new user, it should work.",Bug
43,,Customer,2022-02-11 04:02:04.382878,2022-02-11 04:14:08.835816,ok let me see,Bug
43,,Customer,2022-02-11 04:02:04.382878,2022-02-11 04:16:31.230782,yah can confirm its working on a new user,Bug
43,,Agent,2022-02-11 04:02:04.382878,2022-02-11 04:18:54.523172,Thanks for checking and reporting the issue 🙏 Please keep them coming. This one will be fixed with next deploy.,Bug
44,,Customer,2022-02-11 04:23:17.141716,2022-02-11 04:23:17.141716,"oh man, i was typing a reply and you cut me off by closing the ticket :-) LOL",Feature Request
44,,Customer,2022-02-11 04:23:17.141716,2022-02-11 04:24:28.352029,"anyway, i was going to say, maybe i raised this already, but having some protection against impersonation (other than the obscure customer id) would be great",Feature Request
44,,Agent,2022-02-11 04:23:17.141716,2022-02-11 04:24:44.714563,"Apologies -- we have ""Adam is typing..."" feature coming soon, which should fix that. ",Feature Request
44,,Customer,2022-02-11 04:23:17.141716,2022-02-11 04:24:52.94479,haha,Feature Request
44,,Agent,2022-02-11 04:23:17.141716,2022-02-11 04:25:20.936727,"ya, have support for that planned in this sprint as well. ",Feature Request
44,,Customer,2022-02-11 04:23:17.141716,2022-02-11 04:25:37.82932,cool :-),Feature Request
44,,Customer,2022-02-11 04:23:17.141716,2022-02-11 04:25:41.621516,looking great,Feature Request
44,,Customer,2022-02-11 04:23:17.141716,2022-02-11 04:26:08.353821,did you guys build the whole session recording stuff yourselves or was it an available open source thing,Feature Request
44,,Agent,2022-02-11 04:23:17.141716,2022-02-11 04:30:14.008099,We are using https://github.com/rrweb-io/rrweb but still request surprising amount of work to get all features we want. But still saved months of work with it. ,Feature Request
48,,Customer,2022-02-15 21:06:20.036077,2022-02-15 21:06:20.036077,"hey FYI, slack gives me this notification (though it does work)",Bug
48,,Agent,2022-02-15 21:06:20.036077,2022-02-16 02:56:21.45375,"10-4, thanks for the heads up! 🙏",Bug
50,,Customer,2022-02-18 00:56:16.93052,2022-02-18 00:56:16.93052,Hi! What's the best size for the company logo? Can I upload an SVG? Thanks!,Bug
50,,Customer,2022-02-18 00:56:16.93052,2022-02-18 00:58:46.947468,For email: I've added hrs134oik6@inbox.getatlas.io as a member to my Google Group. I think that should do it?,Bug
50,,Agent,2022-02-18 00:56:16.93052,2022-02-18 01:00:16.814219,"Hey Beau, For logo anything over between 200x200 to 400x400 would do. Unfortunately, We don't have support for SVG right now.",Bug
50,,Agent,2022-02-18 00:56:16.93052,2022-02-18 01:15:07.753293,"For email, it need to be full email: instant_domains_inc-hrs134oik6@inbox.getatlas.io ",Bug
50,,Customer,2022-02-18 00:56:16.93052,2022-02-18 01:15:43.574111," Google groups doesn’t like the comma — easy way to get rid of that?  On Feb 17, 2022 at 17:15:08, Rahul from Atlas Support <support@getatlas.io> wrote:  For email, it need to be full email: instant_domains_inc-hrs134oik6@inbox.getatlas.io   - Rahul Asati @ Atlas Support    ",Bug
50,,Agent,2022-02-18 00:56:16.93052,2022-02-18 01:19:56.185579,"ya, I just removed the comma and dot from the email for your account. the new email is instant_domains_inc-hrs134oik6@inbox.getatlas.io",Bug
53,,Customer,2022-02-18 23:31:23.897027,2022-02-18 23:31:23.897027,"hey, our contract dev is having an issue after merging in the atlas stuff",Product Question
53,,Customer,2022-02-18 23:31:23.897027,2022-02-18 23:31:29.638649,"atlas.bundle.js:1 Uncaught (in promise) TypeError: Cannot convert undefined or null to objectI've been looking into it and tried a few solutions but no luck yet. It only happens on page load, the atlas chat element won't load unless the dev server refreshes.",Product Question
53,,Customer,2022-02-18 23:31:23.897027,2022-02-18 23:31:42.235998,not happening on my computer or our deployment environment,Product Question
53,,Customer,2022-02-18 23:31:23.897027,2022-02-18 23:31:49.408366,any chance this is an easy fix?,Product Question
53,,Agent,2022-02-18 23:31:23.897027,2022-02-18 23:33:38.810665,"Can you send the snippet you are using? Also, happy to jump on the call with the contract dev to figure this out. ",Product Question
53,,Customer,2022-02-18 23:31:23.897027,2022-02-18 23:44:40.804844,"not a blocker, just annoying",Product Question
53,,Customer,2022-02-18 23:31:23.897027,2022-02-18 23:45:26.226584,"yah, let me see if he can reach out",Product Question
53,,Customer,2022-02-18 23:31:23.897027,2022-02-18 23:45:58.505313,send him a zoom or something here - aaron@apexapps.com.au,Product Question
53,,Agent,2022-02-18 23:31:23.897027,2022-02-18 23:46:32.727409,will do,Product Question
53,,Customer,2022-02-18 23:31:23.897027,2022-02-18 23:46:50.124447,he's good people and in australia,Product Question
53,,Customer,2022-02-18 23:31:23.897027,2022-02-18 23:46:59.880639,dont steal him,Product Question
53,,Agent,2022-02-18 23:31:23.897027,2022-02-18 23:49:01.458914,ha ha! never. I reached out. ,Product Question
53,,Agent,2022-02-18 23:31:23.897027,2022-02-19 00:08:59.125421,"I talked to Aaron and found the issue. If name is passed as null, identify call is crashing (only working with undefined or empty string). Will put in a fix today, Aaron is unblocked for now. Thanks for reporting the issue. ",Product Question
53,,Customer,2022-02-18 23:31:23.897027,2022-02-19 03:42:08.666049,"ah yah, thanks",Product Question
67,,Customer,2022-02-26 23:29:42.492833,2022-02-26 23:29:42.492833,"Hey, it looks like the atlas bundle is not getting compressed:",Feature Request
67,,Customer,2022-02-26 23:29:42.492833,2022-02-26 23:29:44.010589,"curl --verbose --compressed https://app.getatlas.io/client-js/atlas.bundle.js* Trying 54.92.223.178:443...* Connected to app.getatlas.io (54.92.223.178) port 443 (#0)* ALPN, offering h2* ALPN, offering http/1.1* TLSv1.3 (OUT), TLS handshake, Client hello (1):* TLSv1.3 (IN), TLS handshake, Server hello (2):* TLSv1.2 (IN), TLS handshake, Certificate (11):* TLSv1.2 (IN), TLS handshake, Server key exchange (12):* TLSv1.2 (IN), TLS handshake, Server finished (14):* TLSv1.2 (OUT), TLS handshake, Client key exchange (16):* TLSv1.2 (OUT), TLS change cipher, Change cipher spec (1):* TLSv1.2 (OUT), TLS handshake, Finished (20):* TLSv1.2 (IN), TLS handshake, Finished (20):* SSL connection using TLSv1.2 / ECDHE-RSA-AES128-GCM-SHA256* ALPN, server accepted to use h2* Server certificate:* subject: CN=*.getatlas.io* start date: Sep 26 00:00:00 2021 GMT* expire date: Oct 25 23:59:59 2022 GMT* subjectAltName: host ""app.getatlas.io"" matched cert's ""*.getatlas.io""* issuer: C=US; O=Amazon; OU=Server CA 1B; CN=Amazon* SSL certificate verify ok.* Using HTTP2, server supports multiplexing* Connection state changed (HTTP/2 confirmed)* Copying HTTP/2 data in stream buffer to connection buffer after upgrade: len=0* Using Stream ID: 1 (easy handle 0x15500a800)> GET /client-js/atlas.bundle.js HTTP/2> Host: app.getatlas.io> user-agent: curl/7.81.1-DEV> accept: */*> accept-encoding: deflate, gzip, br, zstd>* Connection state changed (MAX_CONCURRENT_STREAMS == 128)!< HTTP/2 200< date: Sat, 26 Feb 2022 23:27:52 GMT< content-type: application/javascript< content-length: 384555< set-cookie: AWSALB=FT1Ganh+zDyTuWxDH1XgRsByiGZ/M3WE4DNHkf2pF3gBjd9bNUY1hRbAsYZjhz7qcBspdpmEM9aTlk6kmevhmXw1b95sn1aGtlm6xBKx7L0RKKq/cbdN3ubrZshe; Expires=Sat, 05 Mar 2022 23:27:52 GMT; Path=/< set-cookie: AWSALBCORS=FT1Ganh+zDyTuWxDH1XgRsByiGZ/M3WE4DNHkf2pF3gBjd9bNUY1hRbAsYZjhz7qcBspdpmEM9aTlk6kmevhmXw1b95sn1aGtlm6xBKx7L0RKKq/cbdN3ubrZshe; Expires=Sat, 05 Mar 2022 23:27:52 GMT; Path=/; SameSite=None; Secure< server: nginx/1.14.2< last-modified: Fri, 25 Feb 2022 05:17:06 GMT< etag: ""62186652-5de2b""< cache-control: no-cache< accept-ranges: bytes",Feature Request
67,,Agent,2022-02-26 23:29:42.492833,2022-02-28 07:48:54.865097,"Thanks for pointing out the issue, Beau. Let me take a look and get back to you. ",Feature Request
67,,Agent,2022-02-26 23:29:42.492833,2022-03-02 01:45:50.000152,"Beau, Thanks for pointing out the issue! it is now 132KBs from 385KBs. Let us know if you see any other issues. Thanks! ",Feature Request
67,,Customer,2022-02-26 23:29:42.492833,2022-03-02 01:54:38.583863,"Great, thanks!  On Mar 1, 2022 at 17:45:50, Rahul from Atlas Support <support@getatlas.io> wrote:  Beau, Thanks for pointing out the issue! it is now 132KBs from 385KBs. Let us know if you see any other issues. Thanks!   - Rahul Asati @ Atlas Support    ",Feature Request
70,,Agent,2022-03-03 02:24:25.76092,2022-03-03 02:24:46.671945,hey Chris,Bug
70,,Agent,2022-03-03 02:24:25.76092,2022-03-03 02:25:10.13013,Any issues? ,Bug
70,,Agent,2022-03-03 02:24:25.76092,2022-03-03 02:40:37.750236,"I can reproduce the issue, will fix soon and will let you know.",Bug
70,,Customer,2022-03-03 02:24:25.76092,2022-03-03 02:40:43.036327,cool cool,Bug
73,,Agent,2022-03-07 09:20:25.649072,2022-03-07 09:34:22.546823,"Hi Izak! Not currently, but it's on our roadmap! Would love to hop on a call this week to chat about how you're doing support at Twigs/Steeple.",Sales
73,,Agent,2022-03-07 09:20:25.649072,2022-03-07 15:55:03.665718,"Great! Do any of these times (CST) work for you? March 8 (Tuesday): 3:00 PM - 4:00 PMMarch 9 (Wednesday): 11:15 AM - 12:00 PM, 3:00 PM - 4:30 PMMarch 10 (Thursday): 1:00 PM - 2:00 PM",Sales
73,,Agent,2022-03-07 09:20:25.649072,2022-03-07 16:37:51.912269,Great! I'll send an invite now. Looking forward to chatting!,Sales
76,,Customer,2022-03-07 15:21:27.197499,2022-03-07 15:21:27.197499,Hi ! 👋,Feature Request
76,,Customer,2022-03-07 15:21:27.197499,2022-03-07 15:21:47.586747,Have you any integrations with Intercom?,Feature Request
76,,Agent,2022-03-07 15:21:27.197499,2022-03-07 15:53:11.820307,Hi! We don't currently have any Intercom integrations. Are there any particular ones you're thinking about?,Feature Request
76,,Customer,2022-03-07 15:21:27.197499,2022-03-07 15:54:54.610208,No,Feature Request
76,,Agent,2022-03-07 15:21:27.197499,2022-03-07 15:55:23.332718,Are you currently using Intercom?,Feature Request
76,,Customer,2022-03-07 15:21:27.197499,2022-03-07 15:55:31.429651,"Yes, we are.",Feature Request
76,,Customer,2022-03-07 15:21:27.197499,2022-03-07 15:55:35.744997,do*,Feature Request
76,,Customer,2022-03-07 15:21:27.197499,2022-03-07 15:55:54.207743,"My english is really bad, I'm french... ahah",Feature Request
76,,Customer,2022-03-07 15:21:27.197499,2022-03-07 15:56:10.17615,"But, what's your price then? :)",Feature Request
76,,Agent,2022-03-07 15:21:27.197499,2022-03-07 16:00:04.050992,"Ah, apologies I'll try to use some French (not sure if it will be any better, but I'll try! :D).Notre forfait de démarrage est de 200 $/mois pour 5 sièges et 10 000 sessions. Combien payez-vous actuellement pour Intercom ?",Feature Request
77,,Customer,2022-03-07 16:22:24.324787,2022-03-07 16:22:24.324787,Price,Sales
77,,Agent,2022-03-07 16:22:24.324787,2022-03-07 16:34:46.06312,Hi! Our startup package is $200/mo for 5 seats and 10k session recordings. Did you find us through Product Hunt?,Sales
84,,Customer,2022-03-09 04:39:35.618031,2022-03-09 04:39:35.618031,How much,Product Question
84,,Agent,2022-03-09 04:39:35.618031,2022-03-09 04:40:12.959679,"Hi! We have tiered pricing that starts at $200/mo for 5 seats and 10,000 session recordings. Please let me know if would live to setup a demo call?",Product Question
90,,Customer,2022-03-10 19:09:13.853039,2022-03-10 19:09:13.853039,what is the corporate headquarters address,Sales
90,,Agent,2022-03-10 19:09:13.853039,2022-03-10 19:42:00.939731,"4329 Kingfisher Dr, Houston, TX 77035",Sales
90,,Agent,2022-03-10 19:09:13.853039,2022-03-10 19:42:10.779606,How can we help?,Sales
92,,Customer,2022-03-10 21:26:11.110416,2022-03-10 21:26:11.110416,Hey Folks - anything we can do to untag or otherwise filter when recording is enabled? we're ending up with quite a few low-value very short sessions,Feature Request
93,,Customer,2022-03-10 21:28:36.043879,2022-03-10 21:28:36.043879,would be very cool if the atlas input field gets tagged so it doesn't show up as 'unknown',Feature Request
93,,Customer,2022-03-10 21:28:36.043879,2022-03-28 02:33:52.41386,Hey folks - trying to filter users and i'm not seeing users show up in the filter dropdown that I can find in the session recording history. here is a screenshot of an example,Feature Request
93,,Customer,2022-03-10 21:28:36.043879,2022-03-28 02:35:02.889349,It would also be *super* helpful to be able to click in to a 'user' page so that I can see all of the sessions for that specific user (an example in those screenshots would be to click on any of the user names on the recording list and that would show me a timeline view of any conversations as well as screen recordings,Feature Request
94,,Customer,2022-03-10 21:30:57.763098,2022-03-10 21:30:57.763098,pinning the 'go back' button to the top of the screen and scrolling just the history beneath it would be very helpful when looking through history - right now i have to scroll back up to 'go back' and that's annoying,Feature Request
95,,Customer,2022-03-10 21:32:32.591055,2022-03-10 21:32:32.591055,it's pretty unexpected that when I reopen the atlas bubble that my previous messages aren't here and it looks like I'm starting from scratch,Bug
96,,Customer,2022-03-11 13:35:39.040095,2022-03-11 13:35:39.040095,hi,Spam
97,,Customer,2022-03-11 13:39:10.601364,2022-03-11 13:39:10.601364,Can you please cancel my account billing,Sales
97,,Agent,2022-03-11 13:39:10.601364,2022-03-11 19:44:44.214148,"Hi John! Yes, of course! Just canceled your subscription and refunded your card.I'd love to chat and see if we'd be a good fit for Hopin. Do you have any availability next week?",Sales
98,,Agent,2022-03-11 15:48:51.656819,2022-03-11 16:04:39.756181,"Hi Michael, thanks for reaching out! We'd love to help you improve the quality of your customer support. We have a few different packages available, but the most popular is our startup package for $200/mo. This gets you 5x seats and 10,000 session recordings/mo.I'd love to hop on a call with you to discuss how you're doing support and see if we could help you improve. Do you have any availability next week to chat?",Sales
98,,Agent,2022-03-11 15:48:51.656819,2022-03-11 16:04:53.757666,You can also contact me at jon@getatlas.io,Sales
100,,Customer,2022-03-14 17:26:15.988338,2022-03-14 17:26:15.988338,Hi there! How much is it?,Sales
100,,Agent,2022-03-14 17:26:15.988338,2022-03-14 17:47:29.466745,"Hi! Our pricing starts at $200/mo for 5 seats and 10,000 sessions. What tools are you using today for your customer support?",Sales
111,,Customer,2022-03-28 14:16:57.249598,2022-03-28 14:16:57.249598,pricing,Sales
111,,Agent,2022-03-28 14:16:57.249598,2022-03-28 18:06:57.798988,"Hi! Our pricing starts at $200/mo for 5 seats and 10,000 sessions. What tools are you using today for your customer support?",Sales
112,,Customer,2022-03-28 16:20:23.461729,2022-03-28 16:20:23.461729,"Hi, do you have a twitter account?",Sales
112,,Agent,2022-03-28 16:20:23.461729,2022-03-28 18:08:11.396324,"Hi, Yes we do have a twitter account. Let us know how we can help? ",Sales
113,,Customer,2022-03-29 18:12:47.706962,2022-03-29 18:12:47.706962,what do you do,Sales
113,,Agent,2022-03-29 18:12:47.706962,2022-03-29 18:13:42.902935,"Hi! Atlas is an all-in-one customer support tool that helps companies improve the quality of their support. We do this by bringing sessions recordings, bugs, and outbound emails together in a simple customer dashboard.",Sales
113,,Agent,2022-03-29 18:12:47.706962,2022-03-29 18:15:23.586477,Do you know what you're using for your customer support today/,Sales
114,,Customer,2022-03-30 20:54:58.329841,2022-03-30 20:54:58.329841,"Hello, do you have any documentation for developers?",Product Question
115,,Customer,2022-03-30 21:00:15.483255,2022-03-30 21:00:15.483255,"Hello, do you have any documentation for developers?",Product Question
115,,Agent,2022-03-30 21:00:15.483255,2022-03-30 21:05:12.340033,"Hi Luis! We have installation documentation in the App Configuration tab (https://app.getatlas.io/configuration/installation), but don't have API documentation yet (working on it now). Is there a particular use case you're considering that we can help with?",Product Question
115,,Customer,2022-03-30 21:00:15.483255,2022-03-30 21:07:45.905719,We would like to know if we can limit the screen recordings.Hide password fields and sensitive data.,Product Question
115,,Agent,2022-03-30 21:00:15.483255,2022-03-30 22:00:15.441167,Apologies for the delayed response -- absolutely! One sec and I'll pull together instructions.,Product Question
115,,Customer,2022-03-30 21:00:15.483255,2022-03-30 22:41:21.249103,"Perfect, thanks!",Product Question
115,,Agent,2022-03-30 21:00:15.483255,2022-03-31 15:03:52.212372,"Hi Luis, apologies for the delayed response! You can add these classes to add to element to hiding fields and masking fields:atlas-hide -- to hide a element or group of thematlas-mask -- mask input",Product Question
118,,Customer,2022-03-31 15:23:20.816229,2022-03-31 15:23:20.816229,Is there a way to reach out to a user who hasn't send a message inbound? I want to reach out to a currently active user and can't figure out how.,Product Question
118,,Agent,2022-03-31 15:23:20.816229,2022-03-31 15:43:48.168802,"Hey Scott! We don't currently have a way to do that, but can add that functionality today. I'll send you a message whenever we roll this out with instructions on how to do it.",Product Question
118,,Customer,2022-03-31 15:23:20.816229,2022-03-31 15:44:39.30098,Thanks!,Product Question
118,,Agent,2022-03-31 15:23:20.816229,2022-04-01 16:59:12.956077,Done! Here's how you send a message to a customer proactively:search for customerclick on customer name and come to customer profilesend the message,Product Question
119,,Customer,2022-04-02 00:49:14.443303,2022-04-02 00:49:14.443303,HI,Sales
119,,Customer,2022-04-02 00:49:14.443303,2022-04-02 00:49:25.374285,Is anyone for chat,Sales
119,,Agent,2022-04-02 00:49:14.443303,2022-04-02 01:15:58.685322,"Hey, how can we help you! ",Sales
121,Re: Verify your email,Agent,2022-04-04 09:34:40.442973,2022-04-04 15:23:29.301727,"Hi Raphael,",Feature Request
121,Re: Verify your email,Agent,2022-04-04 09:34:40.442973,2022-04-04 15:25:21.39462,"Hi Raphael,Of course -- always welcome feedback! We're a fully remote team; I'm based in Houston, TX and the rest of the team is in California, Georgia, and Ukraine. Do you have any availability later this week? (Here's my calendly if that's easier: https://calendly.com/jon-obryan/30min) Looking forward to chatting!Jon",Feature Request
129,,Customer,2022-04-07 16:11:28.096843,2022-04-07 16:11:28.096843,Does Atlas also do helpdocs/knowledge centers or is it strictly customer communication + help tickets?,Sales
129,,Agent,2022-04-07 16:11:28.096843,2022-04-07 16:12:55.076482,"Hey, we are building helpdocs/knowledge base right now and should have it ready by end of this month. ",Sales
129,,Customer,2022-04-07 16:11:28.096843,2022-04-07 16:13:20.322569,Awesome!,Sales
129,,Agent,2022-04-07 16:11:28.096843,2022-04-07 16:13:32.095634,Would love to show you what we are building? do you have sometime this week to talk about this. ,Sales
129,,Customer,2022-04-07 16:11:28.096843,2022-04-07 16:13:57.128061,For sure. Do you have a calendly link?,Sales
129,,Customer,2022-04-07 16:11:28.096843,2022-04-07 16:14:05.631972,"My friend, Chris with Loops recommends you guys",Sales
129,,Agent,2022-04-07 16:11:28.096843,2022-04-07 16:14:32.376446,Here is it: https://calendly.com/jon-obryan/30min?month=2022-04,Sales
129,,Customer,2022-04-07 16:11:28.096843,2022-04-07 16:16:01.732937,Done! Looking forward to it,Sales
129,,Agent,2022-04-07 16:11:28.096843,2022-04-07 16:16:37.006209,great! looking forward to talking with you. ,Sales
141,We'd like to Review Getatlas on ReviewsXP.com (A 1000 Words Guide),Agent,2022-04-22 22:36:20.048358,2022-04-24 08:47:08.839515,Note to self: don't write emails like this,Spam
156,,Customer,2022-04-28 18:41:08.191055,2022-04-28 18:41:08.191055,Hey,Sales
156,,Agent,2022-04-28 18:41:08.191055,2022-04-28 19:01:09.073012,Hi! How can we help?,Sales
159,,Customer,2022-05-03 18:51:57.508472,2022-05-03 18:51:57.508472,hey - loving the reply feature in slack,Bug
159,,Customer,2022-05-03 18:51:57.508472,2022-05-03 18:52:05.723122,one bug - it seems to be stripping links,Bug
159,,Customer,2022-05-03 18:51:57.508472,2022-05-03 18:52:37.491231,"so if i send an email address (that slack auto changes to a mailto link) or google.com, it gets stripped from the message that appears in atlas",Bug
159,,Agent,2022-05-03 18:51:57.508472,2022-05-03 19:48:13.308073,thanks adam! good catch — will fix asap!,Bug
161,,Customer,2022-05-04 17:13:08.969048,2022-05-04 17:13:08.969048,Is Atlas SOC 2 compliant?,Sales
161,,Agent,2022-05-04 17:13:08.969048,2022-05-04 18:08:31.282927,we’re in the process of getting SOC2 compliance and hope to be so in the next few months!,Sales
161,,Customer,2022-05-04 17:13:08.969048,2022-05-09 14:14:41.295857,thanks!,Sales
161,,Agent,2022-05-04 17:13:08.969048,2022-05-09 14:16:03.490468,of course! Happy to answer any other questions if you have them.,Sales
161,,Customer,2022-05-04 17:13:08.969048,2022-05-09 15:02:05.146885,We're just in the process of evaluating tools for support. One of our requirements for including 3rd party libraries on our website is SOC2 compliance,Sales
168,,Customer,2022-05-10 11:10:55.559704,2022-05-10 11:10:55.559704,hey team,Bug
168,,Customer,2022-05-10 11:10:55.559704,2022-05-10 11:11:15.882797,can I trigger the chat box without the chat bubble but through Javascript code?,Bug
168,,Customer,2022-05-10 11:10:55.559704,2022-05-10 11:11:42.146641,"Basically I'd like to open the chat when someone clicks on something in my app, not through your beacon",Bug
168,,Agent,2022-05-10 11:10:55.559704,2022-05-10 19:33:12.270994,hey! yes you can — one moment and i’l get you the exact command.,Bug
168,,Agent,2022-05-10 11:10:55.559704,2022-05-10 22:35:12.745267,"Hey, you can use the following command to start the Atlas Chat window.Atlas.chat.start()Let me know if you have any other questions! ",Bug
168,,Customer,2022-05-10 11:10:55.559704,2022-05-11 07:29:37.290053,"ok thanks. I know you guys are super early stage but I have some feedback if you'd like to hear it. I think the main problem right now revolves around email.Basically, when a reply goes into an email ticket, the reply goes from support@getatlas.io which is not good at all. Furthermore, Gmail thinks the email is a promotional one and therefore puts it in the promotional tab.",Bug
168,,Customer,2022-05-10 11:10:55.559704,2022-05-11 07:32:23.15874,I am happy to jump on a quick call to discuss solutions for these issues. I am pretty sure that every company will have the same issues as us.,Bug
168,,Agent,2022-05-10 11:10:55.559704,2022-05-11 07:38:49.252841,Would love to hear your feedback! re: outbound emails: completely understand. We're actually building out a custom domains feature right now to allow you to send emails from your own domain.Do you have any availability later this week? (Here's my calendly if that's easier as well: https://calendly.com/jon-obryan/30min),Bug
168,,Customer,2022-05-10 11:10:55.559704,2022-05-11 08:05:03.198233,thank you. will do.,Bug
177,,Customer,2022-05-18 14:32:11.347353,2022-05-18 14:32:11.347353,Pricing,Sales
177,,Agent,2022-05-18 14:32:11.347353,2022-05-18 14:41:22.580417,we charge $200 per month for 5 seats and 10k sessions.,Sales
178,,Customer,2022-05-18 19:14:16.58763,2022-05-18 19:14:16.58763,Pricing,Sales
178,,Agent,2022-05-18 19:14:16.58763,2022-05-23 17:33:57.796141,we charge $200 per month for 5 seats and 10k sessions.,Sales
180,,Customer,2022-05-24 14:28:23.231754,2022-05-24 14:28:23.231754,its not letting me copy links into atlas,Bug
180,,Agent,2022-05-24 14:28:23.231754,2022-05-24 17:49:50.6643,"Hi Lara, sorry for the delayed response here! This is how you add a link:",Bug
180,,Agent,2022-05-24 14:28:23.231754,2022-05-24 17:56:37.213779,"There are also two other ways you can hyperlink text:copy a link → paste it over the text you'd like to linkhighlight text and press Cmd+K (if you're on a Mac, Windows+K if you're on a PC) to bring up the link menuLet me know if you have any problems with it!Also, something I noticed might be helpful for you are the canned responses (you can get to them here). To add them in the composer, just type ""#"" and then you can search through your saved canned responses really quickly.",Bug
180,,Customer,2022-05-24 14:28:23.231754,2022-05-24 18:09:30.389195,"Hi i meant i can not paste a link into the cht bubble unless it is wrapped in other text for example: if i try to just paste ""www.Avocademy.com"" it wouldnt let me but if i try to paste "" this is the link to our website www.avocademy.com "" it does",Bug
